developer-agreement-type,name,entry-date,start-date,end-date,slug
section-106,Section 106,2018-12-04,2018-12-04,,/developer-agreement-type/section-106
community-infrastructure-levy,Community infrastructure levy,2018-12-04,2018-12-04,,/developer-agreement-type/community-infrastructure-levy
section-278,Section 278,2019-08-30,2019-08-30,,/developer-agreement-type/section-278
