organisation,documentation-url,endpoint-url,start-date,pipelines,plugin,licence
local-authority-eng:EHE,https://www.eastherts.gov.uk/about-east-herts-0/east-herts-annual-infrastructure-funding-statements,https://cdn-eastherts.onwebcurl.com/s3fs-public/2022-12/East%20Herts%20Council%20-%20CVS%20File%201%20-%20developer-agreement.xlsx,,developer-agreement,,ogl3
local-authority-eng:EHA,https://www.easthants.gov.uk/planning-services/planning-policy/community-infrastructure-levy-cil/cil-and-s106-monitoring-0,https://www.easthants.gov.uk/media/6431/download?inline,,developer-agreement,,ogl3
local-authority-eng:TEW,https://tewkesbury.gov.uk/services/planning/community-infrastructure-levy-cil/developer-contributions/,https://tewkesbury.gov.uk/wp-content/uploads/2022/Planning/Developer%20contributions/Infrastructure%20Funding%20Statement/Developer%20agreement,%202022.csv,developer-agreement,,ogl3
local-authority-eng:TUN,https://tunbridgewells.gov.uk/planning/reporting-our-developer-contributions,https://tunbridgewells.gov.uk/__data/assets/file/0004/458653/developer-agreement_20231010.csv,,developer-agreement,,ogl3
