developer-agreement,developer-agreement-type,planning-application,document-url,organisation,entry-date,start-date,end-date,slug
01/18/0693AP,section-106,01/18/0693,https://publicaccess.carlisle.gov.uk/online-applications/files/149FC6377D1443ABDC9905244A01E1F9/pdf/18_0693-S106_AGREEMENT_17052019-2252097.pdf,local-authority-eng:CMA,2020-11-11,2019-05-14,,/developer-agreement/local-authority-eng/CMA/01-18-0693AP
01/18/1142AP,section-106,01/18/1142,https://publicaccess.carlisle.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_CARLI_DCAPR_74301&documentOrdering.orderBy=date&documentOrdering.orderDirection=ascending,local-authority-eng:CMA,2020-11-11,2019-11-13,,/developer-agreement/local-authority-eng/CMA/01-18-1142AP
01/19/0247AP,section-106,01/19/0247,https://publicaccess.carlisle.gov.uk/online-applications/applicationDetails.do?keyVal=_CARLI_DCAPR_74827&activeTab=summary,local-authority-eng:CMA,2020-11-11,2019-07-25,,/developer-agreement/local-authority-eng/CMA/01-19-0247AP
02/17/0246AP,section-106,02/17/0246,https://planning.allerdale.gov.uk/portal/servlets/AttachmentShowServlet?ImageName=488066,local-authority-eng:CMA,2020-11-11,2019-07-17,,/developer-agreement/local-authority-eng/CMA/02-17-0246AP
02/18/0372AP,section-106,02/18/0372,http://planning.allerdale.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=189317,local-authority-eng:CMA,2020-11-11,2019-07-10,,/developer-agreement/local-authority-eng/CMA/02-18-0372AP
03/17/0527AP,section-106,03/17/0527,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=17/0527&ApplicationNumber=17%2F0527&AddressPrefix=&Postcode=&Submit=Search,local-authority-eng:CMA,2020-11-11,2019-04-12,,/developer-agreement/local-authority-eng/CMA/03-17-0527AP
03/18/9001AP,section-106,03/18/9001,https://planning.cumbria.gov.uk/Planning/Display/3/18/9001,local-authority-eng:CMA,2020-11-11,2019-06-24,,/developer-agreement/local-authority-eng/CMA/03-18-9001AP
03/18/9004/5AP,section-106,03/18/9004/5,https://planning.cumbria.gov.uk/Planning/Display/3/18/9005,local-authority-eng:CMA,2020-11-11,2019-06-19,,/developer-agreement/local-authority-eng/CMA/03-18-9004-5AP
03/19/0222AP,section-106,03/19/0222,https://plansearch.eden.gov.uk/fastweb/detail.asp?AltRef=19/0222&ApplicationNumber=19%2F0222&AddressPrefix=&Postcode=&Submit=Search,local-authority-eng:CMA,2020-11-11,2020-03-04,,/developer-agreement/local-authority-eng/CMA/03-19-0222AP
03/19/0426AP,section-106,03/19/0426,https://plansearch.eden.gov.uk/fastweb/detail.asp?AltRef=19/0426&ApplicationNumber=19%2F0426&AddressPrefix=&Postcode=&Submit=Search,local-authority-eng:CMA,2020-11-11,2020-02-05,,/developer-agreement/local-authority-eng/CMA/03-19-0426AP
04/18/2546AP,section-106,04/18/2546,,local-authority-eng:CMA,2020-11-11,2020-01-03,,/developer-agreement/local-authority-eng/CMA/04-18-2546AP
05/17/0841AP,section-106,05/17/0841,https://kdc-pam.southlakeland.gov.uk/NorthgatePublicDocs/00245715.pdf,local-authority-eng:CMA,2020-11-11,2019-07-18,,/developer-agreement/local-authority-eng/CMA/05-17-0841AP
05/17/9013AP,section-106,05/17/9013,https://planning.cumbria.gov.uk/Planning/Display/5/17/9013,local-authority-eng:CMA,2020-11-11,2019-08-27,,/developer-agreement/local-authority-eng/CMA/05-17-9013AP
06/18/0364AP,section-106,06/18/0364,https://webapps.barrowbc.gov.uk/webapps/f?p=BARROWPLANNINGHUB:APPLICATIONSEARCH:15363919387352:,local-authority-eng:CMA,2020-11-11,2019-09-23,,/developer-agreement/local-authority-eng/CMA/06-18-0364AP
06/18/0375AP,section-106,06/18/0375,https://webapps.barrowbc.gov.uk/planning/applications/2018/PLAN_2018_0375_ADDITIONAL_12.pdf,local-authority-eng:CMA,2020-11-11,2020-02-06,,/developer-agreement/local-authority-eng/CMA/06-18-0375AP
