developer-agreement,developer-agreement-type,planning-application,document-url,organisation,entry-date,start-date,end-date,slug
18/01395/FUL_CIL,community-infrastructure-levy,18/01395/FUL,,local-authority-eng:GLO,2020-04-06,2019-08-08,,/developer-agreement/local-authority-eng/GLO/18-01395-FUL-CIL
18/00306/FUL_CIL,community-infrastructure-levy,18/00306/FUL,,local-authority-eng:GLO,2020-04-06,2020-04-27,,/developer-agreement/local-authority-eng/GLO/18-00306-FUL-CIL
18/00306/FUL_S106,section-106,18/00306/FUL,http://planningdocs.gloucester.gov.uk/NorthgatePublicDocs/00227134.pdf,local-authority-eng:GLO,2020-04-06,2019-09-26,,/developer-agreement/local-authority-eng/GLO/18-00306-FUL-S106
14/01063/OUT_UU,section-106,14/01063/OUT,http://planningdocs.gloucester.gov.uk/NorthgatePublicDocs/00060596.pdf,local-authority-eng:GLO,2020-04-06,2016-12-21,,/developer-agreement/local-authority-eng/GLO/14-01063-OUT-UU
18/01127/FUL_DOV,section-106,18/01127/FUL,http://planningdocs.gloucester.gov.uk/NorthgatePublicDocs/00222535.pdf,local-authority-eng:GLO,2020-04-06,2019-06-14,,/developer-agreement/local-authority-eng/GLO/18-01127-FUL-DOV
17/01199/OUT_S106,section-106,17/01199/OUT,http://planningdocs.gloucester.gov.uk/NorthgatePublicDocs/00226087.pdf,local-authority-eng:GLO,2020-04-06,2019-09-05,,/developer-agreement/local-authority-eng/GLO/17-01199-OUT-S106
17/01199/OUT_DOV,section-106,17/01199/OUT,http://planningdocs.gloucester.gov.uk/NorthgatePublicDocs/00235823.pdf,local-authority-eng:GLO,2020-04-06,2019-12-23,,/developer-agreement/local-authority-eng/GLO/17-01199-OUT-DOV
