developer-agreement,developer-agreement-type,planning-application,document-url,organisation,entry-date,start-date,end-date,slug
S106-103,section-106,04/00873/OUT,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2005-09-02,,/developer-agreement/local-authority-eng/HAL/S106-103
S106-107,section-106,04/01123/FUL,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2005-12-14,,/developer-agreement/local-authority-eng/HAL/S106-107
S106-110,section-106,06/00804/REM & 05/00910/OUT,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2006-06-23,,/developer-agreement/local-authority-eng/HAL/S106-110
S106-139,section-106,09/00407/FUL & 09/00406/OUT,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2009-11-23,,/developer-agreement/local-authority-eng/HAL/S106-139
S106-149,section-106,09/00529/OUT,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2010-08-27,,/developer-agreement/local-authority-eng/HAL/S106-149
S106-150,section-106,09/00245/OUT,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2010-11-02,,/developer-agreement/local-authority-eng/HAL/S106-150
S106-152,section-106,10/00124/FUL,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2010-12-06,,/developer-agreement/local-authority-eng/HAL/S106-152
S106-153,section-106,09/00512/FUL,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2010-12-09,,/developer-agreement/local-authority-eng/HAL/S106-153
S106-154,section-106,10/00369/FUL,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2010-12-21,,/developer-agreement/local-authority-eng/HAL/S106-154
S106-155,section-106,11/00240/FUL,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2011-02-02,,/developer-agreement/local-authority-eng/HAL/S106-155
S106-162,section-106,11/00186/COND,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2011-07-04,,/developer-agreement/local-authority-eng/HAL/S106-162
S106-165,section-106,10/00150/FUL,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2011-11-03,,/developer-agreement/local-authority-eng/HAL/S106-165
S106-172,section-106,11/00183/FUL,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2012-06-15,,/developer-agreement/local-authority-eng/HAL/S106-172
S106-177,section-106,12/00199/FUL,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2012-11-14,,/developer-agreement/local-authority-eng/HAL/S106-177
S106-186,section-106,12/00015/FUL,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2013-04-16,,/developer-agreement/local-authority-eng/HAL/S106-186
S106-187,section-106,11/00113/OUT,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2013-05-08,,/developer-agreement/local-authority-eng/HAL/S106-187
S106-191,section-106,12/00356/FUL,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2013-08-12,,/developer-agreement/local-authority-eng/HAL/S106-191
S106-194,section-106,13/00071/FUL,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2013-10-17,,/developer-agreement/local-authority-eng/HAL/S106-194
S106-195,section-106,13/00174/FUL,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2013-10-15,,/developer-agreement/local-authority-eng/HAL/S106-195
S106-197,section-106,13/00043/FUL,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2013-10-14,,/developer-agreement/local-authority-eng/HAL/S106-197
S106-198,section-106,13/00112/FUL,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2013-11-15,,/developer-agreement/local-authority-eng/HAL/S106-198
S106-201,section-106,13/00039/FUL,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2013-12-10,,/developer-agreement/local-authority-eng/HAL/S106-201
S106-208,section-106,14/00087/FUL & 15/00274/S73,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2014-09-07,,/developer-agreement/local-authority-eng/HAL/S106-208
S106-209,section-106,12/00429/OUT & 15/00314/REM,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2015-01-07,,/developer-agreement/local-authority-eng/HAL/S106-209
S106-212,section-106,13/00042/FUL,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2015-04-16,,/developer-agreement/local-authority-eng/HAL/S106-212
S106-214,section-106,12/00282/FUL,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2015-06-30,,/developer-agreement/local-authority-eng/HAL/S106-214
S106-220,section-106,15/00430/FUL,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2016-04-11,,/developer-agreement/local-authority-eng/HAL/S106-220
S106-226,section-106,15/00358/FUL,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2017-03-22,,/developer-agreement/local-authority-eng/HAL/S106-226
S106-237,section-106,16/00475/FUL,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2009-07-20,,/developer-agreement/local-authority-eng/HAL/S106-237
S106-64,section-106,99/00556/OUT,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2000-09-04,,/developer-agreement/local-authority-eng/HAL/S106-64
S106-81,section-106,02/00669/FUL,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2003-07-22,,/developer-agreement/local-authority-eng/HAL/S106-81
S106-84,section-106,03/00815/FUL&03/00165/REM,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2003-12-17,,/developer-agreement/local-authority-eng/HAL/S106-84
S106-913,section-106,02/00896/FUL,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2003-03-25,,/developer-agreement/local-authority-eng/HAL/S106-913
S106-930,section-106,13/00455/FUL,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2014-01-08,,/developer-agreement/local-authority-eng/HAL/S106-930
S106-931,section-106,13/00350/FUL,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2014-01-20,,/developer-agreement/local-authority-eng/HAL/S106-931
S106-940,section-106,15/00493/FUL,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2017-03-02,,/developer-agreement/local-authority-eng/HAL/S106-940
S106-942,section-106,17/00389/FUL,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2018-06-19,,/developer-agreement/local-authority-eng/HAL/S106-942
S106-97,section-106,04/00653/FUL&08/00107/FUL,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2005-04-19,,/developer-agreement/local-authority-eng/HAL/S106-97
S278-202,section-278,,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2014-02-05,,/developer-agreement/local-authority-eng/HAL/S278-202
S278-203,section-278,,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2019-04-02,,/developer-agreement/local-authority-eng/HAL/S278-203
S278-204,section-278,,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2020-03-09,,/developer-agreement/local-authority-eng/HAL/S278-204
S278-205,section-278,,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2019-04-12,,/developer-agreement/local-authority-eng/HAL/S278-205
S278-206,section-278,,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2014-07-08,,/developer-agreement/local-authority-eng/HAL/S278-206
S278-207,section-278,,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2019-11-28,,/developer-agreement/local-authority-eng/HAL/S278-207
S278-208,section-278,,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2020-03-10,,/developer-agreement/local-authority-eng/HAL/S278-208
S278-209,section-278,,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2019-05-01,,/developer-agreement/local-authority-eng/HAL/S278-209
S278-210,section-278,,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2019-10-17,,/developer-agreement/local-authority-eng/HAL/S278-210
S278-211,section-278,,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2019-11-28,,/developer-agreement/local-authority-eng/HAL/S278-211
S278-212,section-278,,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2019-01-28,,/developer-agreement/local-authority-eng/HAL/S278-212
S278-213,section-278,,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2019-05-01,,/developer-agreement/local-authority-eng/HAL/S278-213
S278-214,section-278,,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2019-02-06,,/developer-agreement/local-authority-eng/HAL/S278-214
S278-215,section-278,,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2020-05-22,,/developer-agreement/local-authority-eng/HAL/S278-215
S278-216,section-278,,http://www.halton.gov.uk/planningapps,local-authority-eng:HAL,2020-12-22,2016-08-08,,/developer-agreement/local-authority-eng/HAL/S278-216
