developer-agreement,developer-agreement-type,planning-application,document-url,organisation,entry-date,start-date,end-date,slug
19/01278/FU4-da,Section-106,19/01278/FU4,https://online-applications.sunderland.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=PVESNEBBJY400,local-authority-eng:SND,2020-12-09,2019-12-10,,/developer-agreement/local-authority-eng/SND/19-01278-FU4-da
06/02209/FUL-da,Section-106,06/02209/FUL,https://online-applications.sunderland.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=J0DQB0BBG7000,local-authority-eng:SND,2020-12-09,2010-04-22,,/developer-agreement/local-authority-eng/SND/06-02209-FUL-da
07/05523/MID-da,Section-106,07/05523/MID,https://online-applications.sunderland.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=JTCD0JBB07Q00,local-authority-eng:SND,2020-12-09,2015-10-20,,/developer-agreement/local-authority-eng/SND/07-05523-MID-da
19/01325/FUL-da,Section-106,19/01325/FUL,https://online-applications.sunderland.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=PVT8LJBBK7P00,local-authority-eng:SND,2020-12-09,2020-01-27,,/developer-agreement/local-authority-eng/SND/19-01325-FUL-da
19/00628/FUL-da,Section-106,19/00628/FUL,https://online-applications.sunderland.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=PPHT2MBBFZ400,local-authority-eng:SND,2020-12-09,2019-11-12,,/developer-agreement/local-authority-eng/SND/19-00628-FUL-da
18/01276/FUL-da,Section-106,18/01276/FUL,https://online-applications.sunderland.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=PC4BOXBBKW800,local-authority-eng:SND,2020-12-09,2019-12-18,,/developer-agreement/local-authority-eng/SND/18-01276-FUL-da
18/02239/FUL-da,Section-106,18/02239/FUL,https://online-applications.sunderland.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=PKLMN5BB01600,local-authority-eng:SND,2020-12-09,2020-01-16,,/developer-agreement/local-authority-eng/SND/18-02239-FUL-da
11/03181/OUT-da,Section-106,11/03181/OUT,https://online-applications.sunderland.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=LTZKUJBB00Q00,local-authority-eng:SND,2020-12-09,2020-03-27,,/developer-agreement/local-authority-eng/SND/11-03181-OUT-da
11/03181/OUT-DOV-da,Section-106,11/03181/OUT-DOV,https://online-applications.sunderland.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=LTZKUJBB00Q00,local-authority-eng:SND,2020-12-09,2020-01-13,,/developer-agreement/local-authority-eng/SND/11-03181-OUT-DOV-da
10/01549/OUT-da,Section-106,10/01549/OUT,https://online-applications.sunderland.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=L1Y8S6BB07Q00,local-authority-eng:SND,2020-12-09,2011-01-27,,/developer-agreement/local-authority-eng/SND/10-01549-OUT-da
