developer-agreement,developer-agreement-type,planning-application,document-url,organisation,entry-date,start-date,end-date,slug
IFS662,,17/01261/PLF,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=OO8RZ3BJKTC00,local-authority-eng:ERY,2020-12-31,2019-10-21,,/developer-agreement/local-authority-eng/ERY/IFS662
IFS694,,19/03764/STVAR,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=Q0ARSTBJLTX00,local-authority-eng:ERY,2020-12-31,2019-11-21,,/developer-agreement/local-authority-eng/ERY/IFS694
IFS674,,17/00398/STOUT,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=OKT0GQBJJ7Z00,local-authority-eng:ERY,2020-12-31,2019-11-02,,/developer-agreement/local-authority-eng/ERY/IFS674
IFS685,,19/01107/STREM,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=PP4XDTBJJFE00,local-authority-eng:ERY,2020-12-31,2019-11-12,,/developer-agreement/local-authority-eng/ERY/IFS685
IFS686,,18/03944/STVAR,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=PJ610GBJI2G00,local-authority-eng:ERY,2020-12-31,2019-11-13,,/developer-agreement/local-authority-eng/ERY/IFS686
IFS659,,17/02687/STREM,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=OU473PBJJN100,local-authority-eng:ERY,2020-12-31,2019-10-20,,/developer-agreement/local-authority-eng/ERY/IFS659
IFS673,,18/02891/STPLF,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=PEBL47BJILF00,local-authority-eng:ERY,2020-12-31,2019-11-01,,/developer-agreement/local-authority-eng/ERY/IFS673
IFS658,,19/01228/LOBVAR,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=PPOSCEBJ0R500,local-authority-eng:ERY,2020-12-31,2019-10-16,,/developer-agreement/local-authority-eng/ERY/IFS658
IFS683,,19/01602/STPLF,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=PRHZD0BJMNQ00,local-authority-eng:ERY,2020-12-31,2019-11-10,,/developer-agreement/local-authority-eng/ERY/IFS683
IFS688,,18/03559/PLF,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=PHDBN3BJ0TC00,local-authority-eng:ERY,2020-12-31,2019-11-15,,/developer-agreement/local-authority-eng/ERY/IFS688
IFS692,,18/02503/STVAR,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=PCSDKSBJG8V00,local-authority-eng:ERY,2020-12-31,2019-11-19,,/developer-agreement/local-authority-eng/ERY/IFS692
