developer-agreement,developer-agreement-type,planning-application,document-url,organisation,entry-date,start-date,end-date,slug
SU/56/03-s106,section-106,SU/56/03,http://docs.adur-worthing.gov.uk/NIM.WebSearch/Download.aspx?ID=1955019,local-authority-eng:ADU,2020-10-26,2004-06-10,,/developer-agreement/local-authority-eng/ADU/SU-56-03-s106
AWDM/0205/12-s106,section-106,AWDM/0205/12,http://docs.adur-worthing.gov.uk/NIM.WebSearch/Download.aspx?ID=1976077,local-authority-eng:ADU,2020-10-26,2013-01-21,,/developer-agreement/local-authority-eng/ADU/AWDM-0205-12-s106
AWDM/1242/12-s106,section-106,AWDM/1242/12,http://docs.adur-worthing.gov.uk/NIM.WebSearch/Download.aspx?ID=1978857,local-authority-eng:ADU,2020-10-26,2013-03-25,,/developer-agreement/local-authority-eng/ADU/AWDM-1242-12-s106
AWDM/1483/12-s106,section-106,AWDM/1483/12,http://docs.adur-worthing.gov.uk/NIM.WebSearch/Download.aspx?ID=1983923,local-authority-eng:ADU,2020-11-02,2013-06-12,,/developer-agreement/local-authority-eng/ADU/AWDM-1483-12-s106
AWDM/0935/13-s106,section-106,AWDM/0935/13,http://docs.adur-worthing.gov.uk/NIM.WebSearch/Download.aspx?ID=2073661,local-authority-eng:ADU,2020-10-26,2015-06-12,,/developer-agreement/local-authority-eng/ADU/AWDM-0935-13-s106
AWDM/0969/17-s106,section-106,AWDM/0969/17,http://docs.adur-worthing.gov.uk/NIM.WebSearch/Download.aspx?ID=2138780,local-authority-eng:ADU,2020-10-26,2018-04-04,,/developer-agreement/local-authority-eng/ADU/AWDM-0969-17-s106
AWDM/1093/17-s106,section-106,AWDM/1093/17,http://docs.adur-worthing.gov.uk/NIM.WebSearch/Download.aspx?ID=2173509,local-authority-eng:ADU,2020-01-30,2019-12-20,,/developer-agreement/local-authority-eng/ADU/AWDM-1093-17-s106
AWDM/0961/17-s106,section-106,AWDM/0961/17,http://docs.adur-worthing.gov.uk/NIM.WebSearch/Download.aspx?ID=2176471,local-authority-eng:ADU,2020-02-13,2020-02-04,,/developer-agreement/local-authority-eng/ADU/AWDM-0961-17-s106
