developer-agreement,developer-agreement-type,planning-application,document-url,organisation,entry-date,start-date,end-date,slug
19/00585/FULM-S106,S106,19/00585/FULM,,local-authority-eng:NEA,2020-12-01,2019-06-20,,/developer-agreement/local-authority-eng/NEA/19-00585-FULM-S106
14/00161/FULM-S106,S106,14/00161/FULM,,local-authority-eng:NEA,2020-12-01,2019-11-29,,/developer-agreement/local-authority-eng/NEA/14-00161-FULM-S106
18/01898/OUTM-S106,S106,18/01898/OUTM,,local-authority-eng:NEA,2020-12-01,2020-01-30,,/developer-agreement/local-authority-eng/NEA/18-01898-OUTM-S106
