developer-agreement,developer-agreement-type,planning-application,document-url,organisation,entry-date,start-date,end-date,slug
P/2018/01046-da,section-106,P/2018/01046,http://www.eaststaffsbc.gov.uk/MVM.DMS/Planning%20Application/632000/632429/P_2018_01046_Section%20106%20Agreement.pdf,local-authority-eng:EST,2020-08-20,2019-05-22,,/developer-agreement/local-authority-eng/EST/P-2018-01046-da
P/2018/00939-da,section-106,P/2018/00939,http://www.eaststaffsbc.gov.uk/MVM.DMS/Planning%20Application/632000/632322/P_2018_00939_Section%20106%20Agreement.pdf,local-authority-eng:EST,2020-08-20,2019-09-13,,/developer-agreement/local-authority-eng/EST/P-2018-00939-da
P/2019/00703-da,section-106,P/2019/00703,http://www.eaststaffsbc.gov.uk/MVM/Online/dms/DocumentViewer.aspx?PK=633686&SearchType=Planning%20Application,local-authority-eng:EST,2020-08-20,2019-12-23,2020-03-04,/developer-agreement/local-authority-eng/EST/P-2019-00703-da
P/2019/00703-da,Deed of variation,P/2019/00703,http://www.eaststaffsbc.gov.uk/MVM/Online/dms/DocumentViewer.aspx?PK=633686&SearchType=Planning%20Application,local-authority-eng:EST,2020-08-20,2020-03-04,,/developer-agreement/local-authority-eng/EST/P-2019-00703-da
P/2017/00342-da,section-106,P/2017/00342,http://www.eaststaffsbc.gov.uk/MVM.DMS/Planning%20Application/630000/630140/P_2017_00342_Section%20106%20Agreement.pdf,local-authority-eng:EST,2020-08-20,2019-05-13,,/developer-agreement/local-authority-eng/EST/P-2017-00342-da
P/2019/00371-da,Unilateral Undertaking,P/2019/00371,http://www.eaststaffsbc.gov.uk/MVM.DMS/Planning%20Application/633000/633359/P_2019_00371_Unilateral%20Undertaking.pdf,local-authority-eng:EST,2020-08-20,2019-08-22,,/developer-agreement/local-authority-eng/EST/P-2019-00371-da
P/2018/00669-da,Unilateral Undertaking,P/2018/00669,http://www.eaststaffsbc.gov.uk/MVM.DMS/Planning%20Application/632000/632057/P_2018_00669_Section%20106_Unilateral%20Undertaking_Redacted.pdf,local-authority-eng:EST,2020-08-20,2019-05-14,,/developer-agreement/local-authority-eng/EST/P-2018-00669-da
P/2018/00530-da,section-106,P/2018/00530,http://www.eaststaffsbc.gov.uk/MVM.DMS/Planning%20Application/631000/631920/P_2018_00530_Section%20106%20Agreement.pdf,local-authority-eng:EST,2020-08-20,2019-07-02,,/developer-agreement/local-authority-eng/EST/P-2018-00530-da
