developer-agreement,developer-agreement-type,planning-application,document-url,organisation,entry-date,start-date,end-date,slug
18/01796/FUL_CIL,community-infrastructure-levy,18/01796/FUL,,local-authority-eng:CHT,2020-04-06,2019-06-11,,/developer-agreement/local-authority-eng/CHT/18-01796-FUL-CIL
19/00077/FUL_CIL,community-infrastructure-levy,19/00077/FUL,,local-authority-eng:CHT,2020-04-06,2019-06-24,,/developer-agreement/local-authority-eng/CHT/19-00077-FUL-CIL
18/02604/FUL_CIL,community-infrastructure-levy,18/02604/FUL,,local-authority-eng:CHT,2020-04-06,2019-08-05,,/developer-agreement/local-authority-eng/CHT/18-02604-FUL-CIL
18/02555/FUL_CIL,community-infrastructure-levy,18/02555/FUL,,local-authority-eng:CHT,2020-04-06,2019-08-06,,/developer-agreement/local-authority-eng/CHT/18-02555-FUL-CIL
19/00492/CONDIT_CIL,community-infrastructure-levy,19/00492/CONDIT,,local-authority-eng:CHT,2020-04-06,2019-08-15,,/developer-agreement/local-authority-eng/CHT/19-00492-CONDIT-CIL
19/00189/CONDIT_CIL,community-infrastructure-levy,19/00189/CONDIT,,local-authority-eng:CHT,2020-04-06,2019-09-11,,/developer-agreement/local-authority-eng/CHT/19-00189-CONDIT-CIL
18/00704/FUL_CIL,community-infrastructure-levy,18/00704/FUL,,local-authority-eng:CHT,2020-04-06,2019-10-24,,/developer-agreement/local-authority-eng/CHT/18-00704-FUL-CIL
19/01340/FUL_CIL,community-infrastructure-levy,19/01340/FUL,,local-authority-eng:CHT,2020-04-06,2019-12-12,,/developer-agreement/local-authority-eng/CHT/19-01340-FUL-CIL
18/01709/FUL_CIL,community-infrastructure-levy,18/01709/FUL,,local-authority-eng:CHT,2020-04-06,2020-01-21,,/developer-agreement/local-authority-eng/CHT/18-01709-FUL-CIL
19/01956/FUL_CIL,community-infrastructure-levy,19/01956/FUL,,local-authority-eng:CHT,2020-04-06,2020-01-21,,/developer-agreement/local-authority-eng/CHT/19-01956-FUL-CIL
19/01794/FUL_CIL,community-infrastructure-levy,19/01794/FUL,,local-authority-eng:CHT,2020-04-06,2020-01-29,,/developer-agreement/local-authority-eng/CHT/19-01794-FUL-CIL
19/02368/CONDIT_CIL,community-infrastructure-levy,19/02368/CONDIT,,local-authority-eng:CHT,2020-04-06,2020-02-13,,/developer-agreement/local-authority-eng/CHT/19-02368-CONDIT-CIL
19/01944/FUL_CIL,community-infrastructure-levy,19/01944/FUL,,local-authority-eng:CHT,2020-04-06,2020-02-25,,/developer-agreement/local-authority-eng/CHT/19-01944-FUL-CIL
19/02319/FUL_CIL,community-infrastructure-levy,19/02319/FUL,,local-authority-eng:CHT,2020-04-06,2020-02-28,,/developer-agreement/local-authority-eng/CHT/19-02319-FUL-CIL
19/01585/FUL_CIL,community-infrastructure-levy,19/01585/FUL,,local-authority-eng:CHT,2020-04-06,2020-03-05,,/developer-agreement/local-authority-eng/CHT/19-01585-FUL-CIL
19/00334/OUT_S106_1,section-106,19/00334/OUT,https://publicaccess.cheltenham.gov.uk/online-applications/files/C182AFFFC42FA87355FF38D08384FC39/pdf/19_00334_OUT-SECTION_106_AGREEMENT_PUBLIC_OPEN_SPACE-1023249.pdf,local-authority-eng:CHT,2020-04-06,2020-01-22,,/developer-agreement/local-authority-eng/CHT/19-00334-OUT-S106-1
19/00334/OUT_S106_2,section-106,19/00334/OUT,https://publicaccess.cheltenham.gov.uk/online-applications/files/1DD4BBA798B8E7752C25C1A0D6808DF7/pdf/19_00334_OUT-SECTION_106_AGREEMENT_AFFORDABLE_HOUSING-1023244.pdf,local-authority-eng:CHT,2020-04-06,2020-01-22,,/developer-agreement/local-authority-eng/CHT/19-00334-OUT-S106-2
18/02171/OUT_S106,section-106,18/02171/OUT,,local-authority-eng:CHT,2020-04-06,2019-08-22,,/developer-agreement/local-authority-eng/CHT/18-02171-OUT-S106
19/00111/FUL_S106,section-106,19/00111/FUL,https://publicaccess.cheltenham.gov.uk/online-applications/files/53713F2EA826D865D16294D48FD6759A/pdf/19_00111_FUL-SECTION_106-1034973.pdf,local-authority-eng:CHT,2020-04-06,2020-03-06,,/developer-agreement/local-authority-eng/CHT/19-00111-FUL-S106
16/01136/FUL_S106,section-106,16/01136/FUL,,local-authority-eng:CHT,2020-04-06,2017-05-19,,/developer-agreement/local-authority-eng/CHT/16-01136-FUL-S106
