developer-agreement,developer-agreement-type,planning-application,document-url,organisation,entry-date,start-date,end-date,slug
P2018/2649/FUL-da,section-106,P2018/2649/FUL,http://planning.islington.gov.uk/NorthgatePublicDocs/00505973.pdf,local-authority-eng:ISL,2020-06-17,2019-04-29,,/developer-agreement/local-authority-eng/ISL/P2018-2649-FUL-da
P2019/2079/S73-da,section-106,P2019/2079/S73,http://planning.islington.gov.uk/NorthgatePublicDocs/00522341.pdf,local-authority-eng:ISL,2020-06-17,2019-10-02,,/developer-agreement/local-authority-eng/ISL/P2019-2079-S73-da
P2018/3180/FUL-da,section-106,P2018/3180/FUL,http://planning.islington.gov.uk/NorthgatePublicDocs/00515104.pdf,local-authority-eng:ISL,2020-06-17,2019-07-26,,/developer-agreement/local-authority-eng/ISL/P2018-3180-FUL-da
P2018/4069/S73-da,section-106,P2018/4069/S73,http://planning.islington.gov.uk/NorthgatePublicDocs/00531195.pdf,local-authority-eng:ISL,2020-06-17,2019-10-10,,/developer-agreement/local-authority-eng/ISL/P2018-4069-S73-da
P2018/2520/FUL-da,section-106,P2018/2520/FUL,http://planning.islington.gov.uk/NorthgatePublicDocs/00514648.pdf,local-authority-eng:ISL,2020-06-17,2019-07-10,,/developer-agreement/local-authority-eng/ISL/P2018-2520-FUL-da
P2019/0401/FUL-da,section-106,P2019/0401/FUL,http://planning.islington.gov.uk/NorthgatePublicDocs/00523267.pdf,local-authority-eng:ISL,2020-06-17,2019-10-14,,/developer-agreement/local-authority-eng/ISL/P2019-0401-FUL-da
P2018/1452/FUL-da,section-106,P2018/1452/FUL,http://planning.islington.gov.uk/NorthgatePublicDocs/00514674.pdf,local-authority-eng:ISL,2020-06-17,2019-06-14,,/developer-agreement/local-authority-eng/ISL/P2018-1452-FUL-da
P2019/0442/FUL-da,section-106,P2019/0442/FUL,http://planning.islington.gov.uk/NorthgatePublicDocs/00524867.pdf,local-authority-eng:ISL,2020-06-17,2019-10-28,,/developer-agreement/local-authority-eng/ISL/P2019-0442-FUL-da
P2018/0715/FUL-da,section-106,P2018/0715/FUL,http://planning.islington.gov.uk/NorthgatePublicDocs/00534039.pdf,local-authority-eng:ISL,2020-06-17,2020-01-27,,/developer-agreement/local-authority-eng/ISL/P2018-0715-FUL-da
P2017/3103/FUL-da,section-278,P2017/3103/FUL,http://planning.islington.gov.uk/NorthgatePublicDocs/00511230.pdf,local-authority-eng:ISL,2020-06-17,2019-06-12,,/developer-agreement/local-authority-eng/ISL/P2017-3103-FUL-da
