developer-agreement-contribution,amount,units,contribution-purpose,developer-agreement,organisation,entry-date,start-date,end-date,slug
19/01278/FU4-S2.,5000,,other-HRA,19/01278/FU4-da,local-authority-eng:SND,2020-10-19,2019-12-10,,/developer-agreement-contribution/local-authority-eng/SND/19-01278-FU4-S2-
19/01278/FU4-MON,500,,monitoring-fees,19/01278/FU4-da,local-authority-eng:SND,2020-06-03,2019-12-10,,/developer-agreement-contribution/local-authority-eng/SND/19-01278-FU4-MON
06/02209/FUL-S2.2.1.1,118000,,education,06/02209/FUL-da,local-authority-eng:SND,2020-05-13,2010-04-22,,/developer-agreement-contribution/local-authority-eng/SND/06-02209-FUL-S2-2-1-1
06/02209/FUL-S2.2.1.2,118000,,education,06/02209/FUL-da,local-authority-eng:SND,2020-05-13,2010-04-22,,/developer-agreement-contribution/local-authority-eng/SND/06-02209-FUL-S2-2-1-2
06/02209/FUL-S2.2.1.3,118722,,education,06/02209/FUL-da,local-authority-eng:SND,2020-05-13,2010-04-22,,/developer-agreement-contribution/local-authority-eng/SND/06-02209-FUL-S2-2-1-3
06/02209/FUL-S2.3.1.1,75000,,open-space-and-leisure,06/02209/FUL-da,local-authority-eng:SND,2020-05-13,2010-04-22,,/developer-agreement-contribution/local-authority-eng/SND/06-02209-FUL-S2-3-1-1
06/02209/FUL-S2.3.1.2,75000,,open-space-and-leisure,06/02209/FUL-da,local-authority-eng:SND,2020-05-13,2010-04-22,,/developer-agreement-contribution/local-authority-eng/SND/06-02209-FUL-S2-3-1-2
06/02209/FUL-S2.3.1.3,76027,,open-space-and-leisure,06/02209/FUL-da,local-authority-eng:SND,2020-05-13,2010-04-22,,/developer-agreement-contribution/local-authority-eng/SND/06-02209-FUL-S2-3-1-3
06/02209/FUL-S2.4.1,,1,open-space-and-leisure,06/02209/FUL-da,local-authority-eng:SND,2020-05-13,2010-04-22,,/developer-agreement-contribution/local-authority-eng/SND/06-02209-FUL-S2-4-1
06/02209/FUL-S2.4.2,52206,,open-space-and-leisure,06/02209/FUL-da,local-authority-eng:SND,2020-05-13,2010-04-22,,/developer-agreement-contribution/local-authority-eng/SND/06-02209-FUL-S2-4-2
06/02209/FUL-S2.5.1,,1,open-space-and-leisure,06/02209/FUL-da,local-authority-eng:SND,2020-05-13,2010-04-22,,/developer-agreement-contribution/local-authority-eng/SND/06-02209-FUL-S2-5-1
06/02209/FUL-S2.5.3,628774.45,,open-space-and-leisure,06/02209/FUL-da,local-authority-eng:SND,2020-05-14,2010-04-22,,/developer-agreement-contribution/local-authority-eng/SND/06-02209-FUL-S2-5-3
07/05523/MID-7.2,55000,,transport-and-travel,07/05523/MID-da,local-authority-eng:SND,2020-05-14,2015-09-29,,/developer-agreement-contribution/local-authority-eng/SND/07-05523-MID-7-2
07/05523/MID-7.1.1,55000,,open-space-and-leisure,07/05523/MID-da,local-authority-eng:SND,2020-05-14,2015-09-29,,/developer-agreement-contribution/local-authority-eng/SND/07-05523-MID-7-1-1
07/05523/MID-7.1.2,55000,,open-space-and-leisure,07/05523/MID-da,local-authority-eng:SND,2020-05-14,2015-09-29,,/developer-agreement-contribution/local-authority-eng/SND/07-05523-MID-7-1-2
07/05523/MID-7.1.3,55000,,open-space-and-leisure,07/05523/MID-da,local-authority-eng:SND,2020-05-14,2015-09-29,,/developer-agreement-contribution/local-authority-eng/SND/07-05523-MID-7-1-3
07/05523/MID-7.1.4,55000,,open-space-and-leisure,07/05523/MID-da,local-authority-eng:SND,2020-06-26,2015-09-29,,/developer-agreement-contribution/local-authority-eng/SND/07-05523-MID-7-1-4
07/05523/MID-7.1.5,55000,,open-space-and-leisure,07/05523/MID-da,local-authority-eng:SND,2020-10-19,2015-09-29,,/developer-agreement-contribution/local-authority-eng/SND/07-05523-MID-7-1-5
07/05523/MID-7.1.6,55000,,open-space-and-leisure,07/05523/MID-da,local-authority-eng:SND,2020-10-19,2015-09-29,,/developer-agreement-contribution/local-authority-eng/SND/07-05523-MID-7-1-6
07/05523/MID-7.1.7,55000,,open-space-and-leisure,07/05523/MID-da,local-authority-eng:SND,2020-10-19,2015-09-29,,/developer-agreement-contribution/local-authority-eng/SND/07-05523-MID-7-1-7
07/05523/MID-7.1.8,55000,,open-space-and-leisure,07/05523/MID-da,local-authority-eng:SND,2020-10-19,2015-09-29,,/developer-agreement-contribution/local-authority-eng/SND/07-05523-MID-7-1-8
07/05523/MID-7.1.9,55000,,open-space-and-leisure,07/05523/MID-da,local-authority-eng:SND,2020-10-19,2015-09-29,,/developer-agreement-contribution/local-authority-eng/SND/07-05523-MID-7-1-9
07/05523/MID-7.1.10,55000,,open-space-and-leisure,07/05523/MID-da,local-authority-eng:SND,2020-10-19,2015-09-29,,/developer-agreement-contribution/local-authority-eng/SND/07-05523-MID-7-1-10
07/05523/MID-7.1.11,55000,,open-space-and-leisure,07/05523/MID-da,local-authority-eng:SND,2020-10-19,2015-09-29,,/developer-agreement-contribution/local-authority-eng/SND/07-05523-MID-7-1-11
07/05523/MID-7.1.12,55000,,open-space-and-leisure,07/05523/MID-da,local-authority-eng:SND,2020-10-19,2015-09-29,,/developer-agreement-contribution/local-authority-eng/SND/07-05523-MID-7-1-12
19/01325/FUL-S2.1,813,,other-HRA,19/01325/FUL-da,local-authority-eng:SND,2020-10-19,2020-01-27,,/developer-agreement-contribution/local-authority-eng/SND/19-01325-FUL-S2-1
19/01325/FUL-MON,80,,monitoring-fees,19/01325/FUL-da,local-authority-eng:SND,2020-06-03,2020-01-27,,/developer-agreement-contribution/local-authority-eng/SND/19-01325-FUL-MON
19/00628/FUL-3a.,1626,,other-HRA,19/00628/FUL-da,local-authority-eng:SND,2020-10-19,2019-11-12,,/developer-agreement-contribution/local-authority-eng/SND/19-00628-FUL-3a-
19/00628/FUL-MON,500,,monitoring-fees,19/00628/FUL-da,local-authority-eng:SND,2020-06-03,2019-11-12,,/developer-agreement-contribution/local-authority-eng/SND/19-00628-FUL-MON
18/01276/FUL-S2.1,15932,,other-HRA,18/01276/FUL-da,local-authority-eng:SND,2020-10-19,2019-12-18,,/developer-agreement-contribution/local-authority-eng/SND/18-01276-FUL-S2-1
18/01276/FUL-S2.2,24883,,education,18/01276/FUL-da,local-authority-eng:SND,2020-05-14,2019-12-18,,/developer-agreement-contribution/local-authority-eng/SND/18-01276-FUL-S2-2
18/01276/FUL-S2.3,48000,,affordable-housing,18/01276/FUL-da,local-authority-eng:SND,2020-05-14,2019-12-18,,/developer-agreement-contribution/local-authority-eng/SND/18-01276-FUL-S2-3
18/01276/FUL-S2.4.1,9814,,open-space-and-leisure,18/01276/FUL-da,local-authority-eng:SND,2020-05-14,2019-12-18,,/developer-agreement-contribution/local-authority-eng/SND/18-01276-FUL-S2-4-1
18/01276/FUL-S2.4.2,9814,,open-space-and-leisure,18/01276/FUL-da,local-authority-eng:SND,2020-05-14,2019-12-18,,/developer-agreement-contribution/local-authority-eng/SND/18-01276-FUL-S2-4-2
18/01276/FUL-MON,3000,,monitoring-fees,18/01276/FUL-da,local-authority-eng:SND,2020-06-03,2019-12-18,,/developer-agreement-contribution/local-authority-eng/SND/18-01276-FUL-MON
18/02239/FUL-S2.1,1897,,other-HRA,18/02239/FUL-da,local-authority-eng:SND,2020-10-19,2020-01-16,,/developer-agreement-contribution/local-authority-eng/SND/18-02239-FUL-S2-1
18/02239/FUL-MON,500,,monitoring-fees,18/02239/FUL-da,local-authority-eng:SND,2020-05-18,2020-01-16,,/developer-agreement-contribution/local-authority-eng/SND/18-02239-FUL-MON
11/03181/OUT-S3.1,57067.2,,education,11/03181/OUT-da,local-authority-eng:SND,2020-10-19,2012-03-27,2020-01-13,/developer-agreement-contribution/local-authority-eng/SND/11-03181-OUT-S3-1
11/03181/OUT-S3.2,57067.2,,education,11/03181/OUT-da,local-authority-eng:SND,2020-10-19,2012-03-27,2020-01-13,/developer-agreement-contribution/local-authority-eng/SND/11-03181-OUT-S3-2
11/03181/OUT-S3.3,14266.8,,education,11/03181/OUT-da,local-authority-eng:SND,2020-10-19,2012-03-27,2020-01-13,/developer-agreement-contribution/local-authority-eng/SND/11-03181-OUT-S3-3
11/03181/OUT-S3.4,31386.96,,education,11/03181/OUT-da,local-authority-eng:SND,2020-10-19,2012-03-27,2020-01-13,/developer-agreement-contribution/local-authority-eng/SND/11-03181-OUT-S3-4
11/03181/OUT-S4.1,14020,,open-space-and-leisure,11/03181/OUT-da,local-authority-eng:SND,2020-05-18,2012-03-27,,/developer-agreement-contribution/local-authority-eng/SND/11-03181-OUT-S4-1
11/03181/OUT-S4.2,14020,,open-space-and-leisure,11/03181/OUT-da,local-authority-eng:SND,2020-05-18,2012-03-27,,/developer-agreement-contribution/local-authority-eng/SND/11-03181-OUT-S4-2
11/03181/OUT-S4.3,14020,,open-space-and-leisure,11/03181/OUT-da,local-authority-eng:SND,2020-05-18,2012-03-27,,/developer-agreement-contribution/local-authority-eng/SND/11-03181-OUT-S4-3
11/03181/OUT-S4.4,14020,,open-space-and-leisure,11/03181/OUT-da,local-authority-eng:SND,2020-05-18,2012-03-27,,/developer-agreement-contribution/local-authority-eng/SND/11-03181-OUT-S4-4
11/03181/OUT-S4.5,7010,,open-space-and-leisure,11/03181/OUT-da,local-authority-eng:SND,2020-05-18,2012-03-27,,/developer-agreement-contribution/local-authority-eng/SND/11-03181-OUT-S4-5
11/03181/OUT-S4.6,7010,,open-space-and-leisure,11/03181/OUT-da,local-authority-eng:SND,2020-05-18,2012-03-27,,/developer-agreement-contribution/local-authority-eng/SND/11-03181-OUT-S4-6
11/03181/DOV-S3.1,57067.2,,education,11/03181/DOV-da,local-authority-eng:SND,2020-10-19,2020-01-13,,/developer-agreement-contribution/local-authority-eng/SND/11-03181-DOV-S3-1
11/03181/DOV-S3.2,57067.2,,education,11/03181/DOV-da,local-authority-eng:SND,2020-10-19,2020-01-13,,/developer-agreement-contribution/local-authority-eng/SND/11-03181-DOV-S3-2
11/03181/DOV-S3.3,14266.8,,education,11/03181/DOV-da,local-authority-eng:SND,2020-10-19,2020-01-13,,/developer-agreement-contribution/local-authority-eng/SND/11-03181-DOV-S3-3
11/03181/DOV-S3.4,31386.96,,education,11/03181/DOV-da,local-authority-eng:SND,2020-10-19,2020-01-13,,/developer-agreement-contribution/local-authority-eng/SND/11-03181-DOV-S3-4
10/01549/OUT-S1.1a,114927,,education,10/01549/OUT-da,local-authority-eng:SND,2020-05-18,2011-01-27,,/developer-agreement-contribution/local-authority-eng/SND/10-01549-OUT-S1-1a
