developer-agreement-contribution,amount,units,contribution-purpose,developer-agreement,organisation,entry-date,start-date,end-date,slug
17/00557/S106/6,3381,,open-space-and-leisure,17/00557/S106,local-authority-eng:NTY,2017-04-13,2017-04-13,,/developer-agreement-contribution/local-authority-eng/NTY/17-00557-S106-6
17/00557/S106/5,1434,,green-infrastructure,17/00557/S106,local-authority-eng:NTY,2017-04-13,2017-04-13,,/developer-agreement-contribution/local-authority-eng/NTY/17-00557-S106-5
17/00557/S106/4,43430,,education,17/00557/S106,local-authority-eng:NTY,2017-04-13,2017-04-13,,/developer-agreement-contribution/local-authority-eng/NTY/17-00557-S106-4
17/00557/S106/3,24755,,education,17/00557/S106,local-authority-eng:NTY,2017-04-13,2017-04-13,,/developer-agreement-contribution/local-authority-eng/NTY/17-00557-S106-3
17/00557/S106/2,100000,,affordable-housing,17/00557/S106,local-authority-eng:NTY,2017-04-13,2017-04-13,,/developer-agreement-contribution/local-authority-eng/NTY/17-00557-S106-2
17/00557/S106/1,0,1,economic-development,17/00557/S106,local-authority-eng:NTY,2017-04-13,2017-04-13,,/developer-agreement-contribution/local-authority-eng/NTY/17-00557-S106-1
16/01286/S106/1,12978,,community-facilities,16/01286/S106,local-authority-eng:NTY,2016-07-20,2016-07-20,,/developer-agreement-contribution/local-authority-eng/NTY/16-01286-S106-1
16/01123/S106/1,9506,,community-facilities,16/01123/S106,local-authority-eng:NTY,2015-12-18,2015-12-18,,/developer-agreement-contribution/local-authority-eng/NTY/16-01123-S106-1
16/00744/S106/1,0,,other,16/00744/S106,local-authority-eng:NTY,2016-04-07,2016-04-07,,/developer-agreement-contribution/local-authority-eng/NTY/16-00744-S106-1
16/00460/S106/2,187104,,highways,16/00460/S106,local-authority-eng:NTY,2016-03-11,2016-03-11,,/developer-agreement-contribution/local-authority-eng/NTY/16-00460-S106-2
16/00460/S106/1,50000,,transport-and-travel,16/00460/S106,local-authority-eng:NTY,2016-03-11,2016-03-11,,/developer-agreement-contribution/local-authority-eng/NTY/16-00460-S106-1
17/01162/S106/10,21000,,economic-development,17/01162/s106,local-authority-eng:NTY,2016-08-16,2016-08-16,,/developer-agreement-contribution/local-authority-eng/NTY/17-01162-S106-10
17/01162/S106/9,45000,,highways,17/01162/s106,local-authority-eng:NTY,2016-08-16,2016-08-16,,/developer-agreement-contribution/local-authority-eng/NTY/17-01162-S106-9
17/01162/S106/8,100000,,other,17/01162/s106,local-authority-eng:NTY,2016-08-16,2016-08-16,,/developer-agreement-contribution/local-authority-eng/NTY/17-01162-S106-8
17/01162/S106/7,34830,,community-facilities,17/01162/s106,local-authority-eng:NTY,2016-08-16,2016-08-16,,/developer-agreement-contribution/local-authority-eng/NTY/17-01162-S106-7
17/01162/S106/6,11475,,community-facilities,17/01162/s106,local-authority-eng:NTY,2016-08-16,2016-08-16,,/developer-agreement-contribution/local-authority-eng/NTY/17-01162-S106-6
17/01162/S106/5,6048,,community-facilities,17/01162/s106,local-authority-eng:NTY,2016-08-16,2016-08-16,,/developer-agreement-contribution/local-authority-eng/NTY/17-01162-S106-5
17/01162/S106/4,19923,,community-facilities,17/01162/s106,local-authority-eng:NTY,2016-08-16,2016-08-16,,/developer-agreement-contribution/local-authority-eng/NTY/17-01162-S106-4
17/01162/S106/3,17000,,green-infrastructure,17/01162/s106,local-authority-eng:NTY,2016-08-16,2016-08-16,,/developer-agreement-contribution/local-authority-eng/NTY/17-01162-S106-3
17/01162/S106/2,29536,,community-facilities,17/01162/s106,local-authority-eng:NTY,2016-08-16,2016-08-16,,/developer-agreement-contribution/local-authority-eng/NTY/17-01162-S106-2
17/01162/S106/1,0,22,affordable-housing,17/01162/s106,local-authority-eng:NTY,2016-08-16,2016-08-16,,/developer-agreement-contribution/local-authority-eng/NTY/17-01162-S106-1
16/02016/S106/7,920000,,affordable-housing,16/02016/S106,local-authority-eng:NTY,2016-12-15,2016-12-15,,/developer-agreement-contribution/local-authority-eng/NTY/16-02016-S106-7
16/02016/S106/6,44846,,health,16/02016/S106,local-authority-eng:NTY,2016-12-15,2016-12-15,,/developer-agreement-contribution/local-authority-eng/NTY/16-02016-S106-6
16/02016/S106/5,30757,,open-space-and-leisure,16/02016/S106,local-authority-eng:NTY,2016-12-15,2016-12-15,,/developer-agreement-contribution/local-authority-eng/NTY/16-02016-S106-5
16/02016/S106/4,4019,,community-facilities,16/02016/S106,local-authority-eng:NTY,2016-12-15,2016-12-15,,/developer-agreement-contribution/local-authority-eng/NTY/16-02016-S106-4
16/02016/S106/3,35267,,education,16/02016/S106,local-authority-eng:NTY,2016-12-15,2016-12-15,,/developer-agreement-contribution/local-authority-eng/NTY/16-02016-S106-3
16/02016/S106/2,14000,,economic-development,16/02016/S106,local-authority-eng:NTY,2016-12-15,2016-12-15,,/developer-agreement-contribution/local-authority-eng/NTY/16-02016-S106-2
16/02016/S106/1,2349,,green-infrastructure,16/02016/S106,local-authority-eng:NTY,2016-12-15,2016-12-15,,/developer-agreement-contribution/local-authority-eng/NTY/16-02016-S106-1
16/00188/S106/1,8498,,community-facilities,16/00188/S106,local-authority-eng:NTY,2016-01-22,2016-01-22,,/developer-agreement-contribution/local-authority-eng/NTY/16-00188-S106-1
16/01571/S106/2,2290,,open-space-and-leisure,16/01571/S106,local-authority-eng:NTY,2016-09-22,2016-09-22,,/developer-agreement-contribution/local-authority-eng/NTY/16-01571-S106-2
16/01571/S106/1,3605,,open-space-and-leisure,16/01571/S106,local-authority-eng:NTY,2016-09-22,2016-09-22,,/developer-agreement-contribution/local-authority-eng/NTY/16-01571-S106-1
16/01598/S106/1,2748,,open-space-and-leisure,16/01598/S106,local-authority-eng:NTY,2016-09-22,2016-09-22,,/developer-agreement-contribution/local-authority-eng/NTY/16-01598-S106-1
15/01795/S106/2,2290,,green-infrastructure,15/01795/S106,local-authority-eng:NTY,2015-11-02,2015-11-02,,/developer-agreement-contribution/local-authority-eng/NTY/15-01795-S106-2
15/01795/S106/1,3605,,open-space-and-leisure,15/01795/S106,local-authority-eng:NTY,2015-11-02,2015-11-02,,/developer-agreement-contribution/local-authority-eng/NTY/15-01795-S106-1
16/00467/S106/8,14325,,green-infrastructure,16/00467/S106,local-authority-eng:NTY,2016-03-11,2016-03-11,,/developer-agreement-contribution/local-authority-eng/NTY/16-00467-S106-8
16/00467/S106/7,5400,,community-facilities,16/00467/S106,local-authority-eng:NTY,2016-03-11,2016-03-11,,/developer-agreement-contribution/local-authority-eng/NTY/16-00467-S106-7
16/00467/S106/6,52633,,open-space-and-leisure,16/00467/S106,local-authority-eng:NTY,2016-03-11,2016-03-11,,/developer-agreement-contribution/local-authority-eng/NTY/16-00467-S106-6
16/00467/S106/5,47085,,community-facilities,16/00467/S106,local-authority-eng:NTY,2016-03-11,2016-03-11,,/developer-agreement-contribution/local-authority-eng/NTY/16-00467-S106-5
16/00467/S106/4,23688,,community-facilities,16/00467/S106,local-authority-eng:NTY,2016-03-11,2016-03-11,,/developer-agreement-contribution/local-authority-eng/NTY/16-00467-S106-4
16/00467/S106/3,163619,,highways,16/00467/S106,local-authority-eng:NTY,2016-03-11,2016-03-11,,/developer-agreement-contribution/local-authority-eng/NTY/16-00467-S106-3
16/00467/S106/2,0,,economic-development,16/00467/S106,local-authority-eng:NTY,2016-03-11,2016-03-11,,/developer-agreement-contribution/local-authority-eng/NTY/16-00467-S106-2
16/00467/S106/1,0,18,affordable-housing,16/00467/S106,local-authority-eng:NTY,2016-03-11,2016-03-11,,/developer-agreement-contribution/local-authority-eng/NTY/16-00467-S106-1
16/00274/S106/2,14800,,economic-development,16/00274/S106,local-authority-eng:NTY,2016-03-11,2016-03-11,,/developer-agreement-contribution/local-authority-eng/NTY/16-00274-S106-2
