developer-agreement-contribution,amount,units,contribution-purpose,developer-agreement,organisation,entry-date,start-date,end-date,slug
20161793ED1,93039.6,,education,20161793-da,local-authority-eng:NLN,2020-11-23,2017-06-07,,/developer-agreement-contribution/local-authority-eng/NLN/20161793ED1
20161793ED2,93039.6,,education,20161793-da,local-authority-eng:NLN,2020-11-23,2017-06-07,,/developer-agreement-contribution/local-authority-eng/NLN/20161793ED2
20161793ED3,124052.8,,education,20161793-da,local-authority-eng:NLN,2020-11-23,2017-06-07,,/developer-agreement-contribution/local-authority-eng/NLN/20161793ED3
20161793AH1,193600,,affordable-housing,20161793-da,local-authority-eng:NLN,2020-11-23,2017-06-07,,/developer-agreement-contribution/local-authority-eng/NLN/20161793AH1
20161793AH2,193600,,affordable-housing,20161793-da,local-authority-eng:NLN,2020-11-23,2017-06-07,,/developer-agreement-contribution/local-authority-eng/NLN/20161793AH2
20161793AH3,169400,,affordable-housing,20161793-da,local-authority-eng:NLN,2020-11-23,2017-06-07,,/developer-agreement-contribution/local-authority-eng/NLN/20161793AH3
20161793OS1,65024.51,,open-space-and-leisure,20161793-da,local-authority-eng:NLN,2020-11-23,2017-06-07,,/developer-agreement-contribution/local-authority-eng/NLN/20161793OS1
20161793OS2,,1,open-space-and-leisure,20161793-da,local-authority-eng:NLN,2020-11-23,2017-06-07,,/developer-agreement-contribution/local-authority-eng/NLN/20161793OS2
20161793REC,4378.67,,open-space-and-leisure,20161793-da,local-authority-eng:NLN,2020-11-23,2017-06-07,,/developer-agreement-contribution/local-authority-eng/NLN/20161793REC
20161793HW,16936,,highways,20161793-da,local-authority-eng:NLN,2020-11-23,2017-06-07,,/developer-agreement-contribution/local-authority-eng/NLN/20161793HW
20161793LEI1,10000,,open-space-and-leisure,20161793-da,local-authority-eng:NLN,2020-11-23,2017-06-07,,/developer-agreement-contribution/local-authority-eng/NLN/20161793LEI1
20161793LEI2,10000,,open-space-and-leisure,20161793-da,local-authority-eng:NLN,2020-11-23,2017-06-07,,/developer-agreement-contribution/local-authority-eng/NLN/20161793LEI2
20161793DR1,24990.47,,drainage,20161793-da,local-authority-eng:NLN,2020-11-23,2017-06-07,,/developer-agreement-contribution/local-authority-eng/NLN/20161793DR1
20161793DR2,,1,drainage,20161793-da,local-authority-eng:NLN,2020-11-23,2017-06-07,,/developer-agreement-contribution/local-authority-eng/NLN/20161793DR2
