developer-agreement-contribution,amount,units,contribution-purpose,developer-agreement,organisation,entry-date,start-date,end-date,slug
Affordable Housing,16000,6,affordable-housing,P/2018/01046-da,local-authority-eng:EST,2020-08-20,2019-05-22,,/developer-agreement-contribution/local-authority-eng/EST/Affordable-Housing
POS,0,2,open-space-and-leisure,P/2018/01046-da,local-authority-eng:EST,2020-08-20,2019-05-22,,/developer-agreement-contribution/local-authority-eng/EST/POS
Community Facilities,250000,0,community-facilities,P/2018/01046-da,local-authority-eng:EST,2020-08-20,2019-05-22,,/developer-agreement-contribution/local-authority-eng/EST/Community-Facilities
Bus Service,0,1,transport-and-travel,P/2018/01046-da,local-authority-eng:EST,2020-08-20,2019-05-22,,/developer-agreement-contribution/local-authority-eng/EST/Bus-Service
Affordable Housing,0,24,affordable-housing,P/2018/00939-da,local-authority-eng:EST,2020-08-20,2019-09-13,,/developer-agreement-contribution/local-authority-eng/EST/Affordable-Housing
POS,15250,0,open-space-and-leisure,P/2018/00939-da,local-authority-eng:EST,2020-08-20,2019-09-13,,/developer-agreement-contribution/local-authority-eng/EST/POS
National Forest,3850,0,green-infrastructure,P/2018/00939-da,local-authority-eng:EST,2020-08-20,2019-09-13,,/developer-agreement-contribution/local-authority-eng/EST/National-Forest
Refuse,1800,0,other,P/2018/00939-da,local-authority-eng:EST,2020-08-20,2019-09-13,,/developer-agreement-contribution/local-authority-eng/EST/Refuse
Affordable Housing,0,39,affordable-housing,P/2019/00703-da,local-authority-eng:EST,2020-08-20,2020-03-04,,/developer-agreement-contribution/local-authority-eng/EST/Affordable-Housing
POS,8400,0,open-space-and-leisure,P/2019/00703-da,local-authority-eng:EST,2020-08-20,2020-03-04,,/developer-agreement-contribution/local-authority-eng/EST/POS
Refuse,1100,0,other,P/2019/00703-da,local-authority-eng:EST,2020-08-20,2020-03-04,,/developer-agreement-contribution/local-authority-eng/EST/Refuse
