developer-agreement-contribution,amount,units,contribution-purpose,developer-agreement,organisation,entry-date,start-date,end-date,slug
WB/03/00039/FULL-PublicTransport,20000,,transport-and-travel,WB/03/00039/FULL-s106,local-authority-eng:WOT,2020-10-27,2003-11-25,,/developer-agreement-contribution/local-authority-eng/WOT/WB-03-00039-FULL-PublicTransport
WB/06/0728/FULL-TAD,14365,,transport-and-travel,WB/06/0728/FULL-s106,local-authority-eng:WOT,2020-10-27,2006-10-20,,/developer-agreement-contribution/local-authority-eng/WOT/WB-06-0728-FULL-TAD
WB/07/0780/FULL-Transport,4713,,transport-and-travel,WB/07/0780/FULL-s106,local-authority-eng:WOT,2020-10-27,2007-06-26,,/developer-agreement-contribution/local-authority-eng/WOT/WB-07-0780-FULL-Transport
WB/07/1009/FULL-Transport,2438,,transport-and-travel,WB/07/1009/FULL-s106,local-authority-eng:WOT,2020-10-27,2007-08-10,,/developer-agreement-contribution/local-authority-eng/WOT/WB-07-1009-FULL-Transport
WB/08/0097/FULL-Transport,2880,,transport-and-travel,WB/08/0097/FULL-s106,local-authority-eng:WOT,2020-10-27,2008-02-05,,/developer-agreement-contribution/local-authority-eng/WOT/WB-08-0097-FULL-Transport
WB/07/1451/FULL-Transport,2400,,transport-and-travel,WB/07/1451/FULL-s106,local-authority-eng:WOT,2020-10-27,2008-02-11,,/developer-agreement-contribution/local-authority-eng/WOT/WB-07-1451-FULL-Transport
WB/07/0916/FULL-Transport,14333,,transport-and-travel,WB/07/0916/FULL-s106,local-authority-eng:WOT,2020-10-27,2008-03-11,,/developer-agreement-contribution/local-authority-eng/WOT/WB-07-0916-FULL-Transport
WB/08/0497/FULL-Transport,27372,,transport-and-travel,WB/08/0497/FULL-s106,local-authority-eng:WOT,2020-10-27,2008-09-10,,/developer-agreement-contribution/local-authority-eng/WOT/WB-08-0497-FULL-Transport
WB/06/1121/FULL-OpenSpace,150548,,open-space-and-leisure,WB/06/1121/FULL-s106,local-authority-eng:WOT,2020-10-27,2009-02-05,,/developer-agreement-contribution/local-authority-eng/WOT/WB-06-1121-FULL-OpenSpace
WB/09/0732/FULL-RecSpace,24566,,open-space-and-leisure,WB/09/0732/FULL-s106,local-authority-eng:WOT,2020-10-27,2009-11-27,,/developer-agreement-contribution/local-authority-eng/WOT/WB-09-0732-FULL-RecSpace
WB/09/0732/FULL-Transport,15040,,transport-and-travel,WB/09/0732/FULL-s106,local-authority-eng:WOT,2020-10-27,2009-11-27,,/developer-agreement-contribution/local-authority-eng/WOT/WB-09-0732-FULL-Transport
WB/07/1120/FULL-TAD,32000,,transport-and-travel,WB/07/1120/FULL-s106,local-authority-eng:WOT,2020-10-27,2009-12-18,,/developer-agreement-contribution/local-authority-eng/WOT/WB-07-1120-FULL-TAD
WB/10/0281/FULL-TAD,43290,,transport-and-travel,WB/10/0281/FULL-s106,local-authority-eng:WOT,2020-10-27,2011-03-23,,/developer-agreement-contribution/local-authority-eng/WOT/WB-10-0281-FULL-TAD
WB/10/0895/FULL-FloodDef,15545,,flood-and-water-management,WB/10/0895/FULL-s106,local-authority-eng:WOT,2020-10-27,2011-05-04,,/developer-agreement-contribution/local-authority-eng/WOT/WB-10-0895-FULL-FloodDef
WB/11/0275/OUT-SwimPool,250813,,open-space-and-leisure,WB/11/0275/OUT-s106,local-authority-eng:WOT,2020-10-27,2012-04-27,,/developer-agreement-contribution/local-authority-eng/WOT/WB-11-0275-OUT-SwimPool
WB/11/0275/OUT-ClerkOfWorks,35323,,other,WB/11/0275/OUT-s106,local-authority-eng:WOT,2020-10-27,2012-04-27,,/developer-agreement-contribution/local-authority-eng/WOT/WB-11-0275-OUT-ClerkOfWorks
AWDM/0055/13-OpenSpace,83538,,open-space-and-leisure,AWDM/0055/13-s106,local-authority-eng:WOT,2020-10-27,2013-09-03,,/developer-agreement-contribution/local-authority-eng/WOT/AWDM-0055-13-OpenSpace
