developer-agreement-contribution,amount,units,contribution-purpose,developer-agreement,organisation,entry-date,start-date,end-date,slug
17/01853/CILADMIN 1,1084.55,,cil-administration-costs,17/01853/FUL/CIL,local-authority-eng:EPS,2019-09-18,2019-09-03,,/developer-agreement-contribution/local-authority-eng/EPS/17-01853-CILADMIN-1
17/01853/CILADMIN 2,1084.55,,cil-administration-costs,17/01853/FUL/CIL,local-authority-eng:EPS,2019-09-18,2019-09-03,,/developer-agreement-contribution/local-authority-eng/EPS/17-01853-CILADMIN-2
17/01853/CILADMIN 3,1084.55,,cil-administration-costs,17/01853/FUL/CIL,local-authority-eng:EPS,2019-09-18,2019-09-03,,/developer-agreement-contribution/local-authority-eng/EPS/17-01853-CILADMIN-3
17/01853/NEIGHBOURHOOD 1,3253.67,,neighbourhood-community-infrastructure-levy,17/01853/FUL/CIL,local-authority-eng:EPS,2019-09-18,2019-09-03,,/developer-agreement-contribution/local-authority-eng/EPS/17-01853-NEIGHBOURHOOD-1
17/01853/NEIGHBOURHOOD 2,3253.67,,neighbourhood-community-infrastructure-levy,17/01853/FUL/CIL,local-authority-eng:EPS,2019-09-18,2019-09-03,,/developer-agreement-contribution/local-authority-eng/EPS/17-01853-NEIGHBOURHOOD-2
17/01853/NEIGHBOURHOOD 3,3253.67,,neighbourhood-community-infrastructure-levy,17/01853/FUL/CIL,local-authority-eng:EPS,2019-09-18,2019-09-03,,/developer-agreement-contribution/local-authority-eng/EPS/17-01853-NEIGHBOURHOOD-3
17/01853/IDP 1,17352.9,,community-infrastructure-levy,17/01853/FUL/CIL,local-authority-eng:EPS,2019-09-18,2019-09-03,,/developer-agreement-contribution/local-authority-eng/EPS/17-01853-IDP-1
17/01853/IDP 2,17352.9,,community-infrastructure-levy,17/01853/FUL/CIL,local-authority-eng:EPS,2019-09-18,2019-09-03,,/developer-agreement-contribution/local-authority-eng/EPS/17-01853-IDP-2
17/01853/IDP 3,17352.9,,community-infrastructure-levy,17/01853/FUL/CIL,local-authority-eng:EPS,2019-09-18,2019-09-03,,/developer-agreement-contribution/local-authority-eng/EPS/17-01853-IDP-3
18/00743/CILADMIN 1,2455,,cil-administration-costs,18/00743/FUL/CIL,local-authority-eng:EPS,2019-09-25,2019-09-12,,/developer-agreement-contribution/local-authority-eng/EPS/18-00743-CILADMIN-1
18/00743/CILADMIN 2,2455,,cil-administration-costs,18/00743/FUL/CIL,local-authority-eng:EPS,2019-09-25,2019-09-12,,/developer-agreement-contribution/local-authority-eng/EPS/18-00743-CILADMIN-2
18/00743/CILADMIN 3,2455,,cil-administration-costs,18/00743/FUL/CIL,local-authority-eng:EPS,2019-09-25,2019-09-12,,/developer-agreement-contribution/local-authority-eng/EPS/18-00743-CILADMIN-3
