developer-agreement-contribution,amount,units,contribution-purpose,developer-agreement,organisation,entry-date,start-date,end-date,slug
0514/0037/C/open,29999.9,,open-space-and-leisure,0514/0037/DA,local-authority-eng:ERE,2020-10-29,2014-10-13,,/developer-agreement-contribution/local-authority-eng/ERE/0514-0037-C-open
0514/0037/C/travel,35615,,transport-and-travel,0514/0037/DA,local-authority-eng:ERE,2020-10-29,2014-10-13,,/developer-agreement-contribution/local-authority-eng/ERE/0514-0037-C-travel
0512/0002/C/housing,12,,affordable-housing,0512/0002/DA,local-authority-eng:ERE,2020-10-29,2013-04-16,,/developer-agreement-contribution/local-authority-eng/ERE/0512-0002-C-housing
0512/0002/C/eco,15000,,economic-development,0512/0002/DA,local-authority-eng:ERE,2020-10-29,2013-04-16,,/developer-agreement-contribution/local-authority-eng/ERE/0512-0002-C-eco
0512/0002/C/eco2,250000,,economic-development,0512/0002/DA,local-authority-eng:ERE,2020-10-29,2013-04-16,,/developer-agreement-contribution/local-authority-eng/ERE/0512-0002-C-eco2
1118/0006/C/education,16187.64,,education,1118/0006/DA,local-authority-eng:ERE,2020-11-04,2019-03-28,,/developer-agreement-contribution/local-authority-eng/ERE/1118-0006-C-education
1118/0006/C/housing,6,,affordable-housing,1118/0006/DA,local-authority-eng:ERE,2020-11-04,2019-03-28,,/developer-agreement-contribution/local-authority-eng/ERE/1118-0006-C-housing
0417/0027/C/open,2937,,open-space-and-leisure,0417/0027/DA,local-authority-eng:ERE,2020-11-04,2018-05-25,,/developer-agreement-contribution/local-authority-eng/ERE/0417-0027-C-open
0417/0027/C/education,17176.17,,education,0417/0027/DA,local-authority-eng:ERE,2020-11-04,2018-05-25,,/developer-agreement-contribution/local-authority-eng/ERE/0417-0027-C-education
0417/0027/C/eco,24000,,economic-development,0417/0027/DA,local-authority-eng:ERE,2020-11-04,2018-05-25,,/developer-agreement-contribution/local-authority-eng/ERE/0417-0027-C-eco
0417/0027/C/travel,32400,,transport-and-travel,0417/0027/DA,local-authority-eng:ERE,2020-11-04,2018-05-25,,/developer-agreement-contribution/local-authority-eng/ERE/0417-0027-C-travel
0117/0021/C/open,4200,,open-space-and-leisure,0117/0021/DA,local-authority-eng:ERE,2020-11-04,2017-10-23,,/developer-agreement-contribution/local-authority-eng/ERE/0117-0021-C-open
0117/0021/C/housing,10,,affordable-housing,0117/0021/DA,local-authority-eng:ERE,2020-11-04,2017-10-23,,/developer-agreement-contribution/local-authority-eng/ERE/0117-0021-C-housing
0117/0021/C/travel,19600,,transport-and-travel,0117/0021/DA,local-authority-eng:ERE,2020-11-04,2017-10-23,,/developer-agreement-contribution/local-authority-eng/ERE/0117-0021-C-travel
0115/0018/C/open,5770,,open-space-and-leisure,0115/0018/DA,local-authority-eng:ERE,2020-11-04,2016-03-21,,/developer-agreement-contribution/local-authority-eng/ERE/0115-0018-C-open
0115/0018/C/education,45596,,education,0115/0018/DA,local-authority-eng:ERE,2020-11-04,2016-03-21,,/developer-agreement-contribution/local-authority-eng/ERE/0115-0018-C-education
0115/0018/C/affordable,30,,affordable-housing,0115/0018/DA,local-authority-eng:ERE,2020-11-04,2016-03-21,,/developer-agreement-contribution/local-authority-eng/ERE/0115-0018-C-affordable
0515/0017/C/education,25300,,education,0515/0017/DA,local-authority-eng:ERE,2020-11-04,2015-11-23,,/developer-agreement-contribution/local-authority-eng/ERE/0515-0017-C-education
0515/0017/C/open,3300,,open-space-and-leisure,0515/0017/DA,local-authority-eng:ERE,2020-11-04,2015-11-23,,/developer-agreement-contribution/local-authority-eng/ERE/0515-0017-C-open
0515/0017/C/housing,5,,affordable-housing,0515/0017/DA,local-authority-eng:ERE,2020-11-04,2015-11-23,,/developer-agreement-contribution/local-authority-eng/ERE/0515-0017-C-housing
0919/0062/C/open,6930,,open-space-and-leisure,0919/0062/DA,local-authority-eng:ERE,2020-11-04,2017-03-14,,/developer-agreement-contribution/local-authority-eng/ERE/0919-0062-C-open
0919/0062/C/education,45596.04,,education,0919/0062/DA,local-authority-eng:ERE,2020-11-04,2017-03-14,,/developer-agreement-contribution/local-authority-eng/ERE/0919-0062-C-education
0919/0062/C/housing,3,,affordable-housing,0919/0062/DA,local-authority-eng:ERE,2020-11-04,2017-03-14,,/developer-agreement-contribution/local-authority-eng/ERE/0919-0062-C-housing
0919/0062/C/travel,52800,,transport-and-travel,0919/0062/DA,local-authority-eng:ERE,2020-11-04,2017-03-14,,/developer-agreement-contribution/local-authority-eng/ERE/0919-0062-C-travel
0402/0083/C/housing,100000,,affordable-housing,0402/0083/DA,local-authority-eng:ERE,2020-11-04,2015-12-23,,/developer-agreement-contribution/local-authority-eng/ERE/0402-0083-C-housing
0216/0012/C/education,45496,,education,0216/0012/DA,local-authority-eng:ERE,2020-11-04,2014-03-26,,/developer-agreement-contribution/local-authority-eng/ERE/0216-0012-C-education
0216/0012/C/open,9651,,open-space-and-leisure,0216/0012/DA,local-authority-eng:ERE,2020-11-04,2014-03-26,,/developer-agreement-contribution/local-authority-eng/ERE/0216-0012-C-open
0216/0012/C/housing,3,,affordable-housing,0216/0012/DA,local-authority-eng:ERE,2020-11-04,2014-03-26,,/developer-agreement-contribution/local-authority-eng/ERE/0216-0012-C-housing
0216/0012/C/housing2,2,,affordable-housing,0216/0012/DA,local-authority-eng:ERE,2020-11-04,2014-03-26,,/developer-agreement-contribution/local-authority-eng/ERE/0216-0012-C-housing2
1014/0006/C/education,,,education,1014/0006/DA,local-authority-eng:ERE,2020-11-04,2015-10-29,,/developer-agreement-contribution/local-authority-eng/ERE/1014-0006-C-education
1014/0006/C/open,,,open-space-and-leisure,1014/0006/DA,local-authority-eng:ERE,2020-11-04,2015-10-29,,/developer-agreement-contribution/local-authority-eng/ERE/1014-0006-C-open
0315/0034/C/open,,,open-space-and-leisure,0315/0034/DA,local-authority-eng:ERE,2020-11-04,2015-10-27,,/developer-agreement-contribution/local-authority-eng/ERE/0315-0034-C-open
0315/0034/C/travel,,,transport-and-travel,0315/0034/DA,local-authority-eng:ERE,2020-11-04,2015-10-27,,/developer-agreement-contribution/local-authority-eng/ERE/0315-0034-C-travel
0315/0034/C/eco,,,economic-development,0315/0034/DA,local-authority-eng:ERE,2020-11-04,2015-10-27,,/developer-agreement-contribution/local-authority-eng/ERE/0315-0034-C-eco
0315/0034/C/housing,,,affordable-housing,0315/0034/DA,local-authority-eng:ERE,2020-11-04,2015-10-27,,/developer-agreement-contribution/local-authority-eng/ERE/0315-0034-C-housing
0516/0017/C/housing,,,affordable-housing,0516/0017/DA,local-authority-eng:ERE,2020-11-04,2017-01-11,,/developer-agreement-contribution/local-authority-eng/ERE/0516-0017-C-housing
0516/0017/C/education,,,education,0516/0017/DA,local-authority-eng:ERE,2020-11-04,2017-01-11,,/developer-agreement-contribution/local-authority-eng/ERE/0516-0017-C-education
0516/0017/C/travel,,,transport-and-travel,0516/0017/DA,local-authority-eng:ERE,2020-11-04,2017-01-11,,/developer-agreement-contribution/local-authority-eng/ERE/0516-0017-C-travel
0716/0012/C/highways,115902,,highways,0716/0012/DA,local-authority-eng:ERE,2020-11-04,2015-12-10,,/developer-agreement-contribution/local-authority-eng/ERE/0716-0012-C-highways
0716/0012/C/highways2,80000,,highways,0716/0012/DA,local-authority-eng:ERE,2020-11-04,2015-12-10,,/developer-agreement-contribution/local-authority-eng/ERE/0716-0012-C-highways2
0716/0012/C/travel,20950,,transport-and-travel,0716/0012/DA,local-authority-eng:ERE,2020-11-04,2015-12-10,,/developer-agreement-contribution/local-authority-eng/ERE/0716-0012-C-travel
0716/0012/C/travel2,20950,,transport-and-travel,0716/0012/DA,local-authority-eng:ERE,2020-11-04,2015-12-10,,/developer-agreement-contribution/local-authority-eng/ERE/0716-0012-C-travel2
0716/0012/C/travel3,20950,,transport-and-travel,0716/0012/DA,local-authority-eng:ERE,2020-11-04,2015-12-10,,/developer-agreement-contribution/local-authority-eng/ERE/0716-0012-C-travel3
