developer-agreement-contribution,amount,units,contribution-purpose,developer-agreement,organisation,entry-date,start-date,end-date,slug
S106-103-C1,10000,,highways,S106-103,local-authority-eng:HAL,2020-12-22,2005-09-02,,/developer-agreement-contribution/local-authority-eng/HAL/S106-103-C1
S106-103-C2,57366,,open-space-and leisure,S106-103,local-authority-eng:HAL,2020-12-22,2005-09-02,,/developer-agreement-contribution/local-authority-eng/HAL/S106-103-C2
S106-107-C1,175000,,highways,S106-107,local-authority-eng:HAL,2020-12-22,2005-12-14,,/developer-agreement-contribution/local-authority-eng/HAL/S106-107-C1
S106-110-C1,16000,,highways,S106-110,local-authority-eng:HAL,2020-12-22,2006-06-23,,/developer-agreement-contribution/local-authority-eng/HAL/S106-110-C1
S106-110-C2,53734.2,,open-space-and leisure,S106-110,local-authority-eng:HAL,2020-12-22,2006-06-23,,/developer-agreement-contribution/local-authority-eng/HAL/S106-110-C2
S106-139-C1,431815.8,,open-space-and leisure,S106-139,local-authority-eng:HAL,2020-12-22,2009-11-23,,/developer-agreement-contribution/local-authority-eng/HAL/S106-139-C1
S106-139-C2,590000,,highways,S106-139,local-authority-eng:HAL,2020-12-22,2009-11-23,,/developer-agreement-contribution/local-authority-eng/HAL/S106-139-C2
S106-149-C1,14693.75,,open-space-and leisure,S106-149,local-authority-eng:HAL,2020-12-22,2000-05-15,,/developer-agreement-contribution/local-authority-eng/HAL/S106-149-C1
S106-150-C1,1000,,open-space-and leisure,S106-150,local-authority-eng:HAL,2020-12-22,2010-11-02,,/developer-agreement-contribution/local-authority-eng/HAL/S106-150-C1
S106-152-C1,127986.03,,open-space-and leisure,S106-152,local-authority-eng:HAL,2020-12-22,2010-12-06,,/developer-agreement-contribution/local-authority-eng/HAL/S106-152-C1
S106-152-C2,13065,,highways,S106-152,local-authority-eng:HAL,2020-12-22,2010-12-06,,/developer-agreement-contribution/local-authority-eng/HAL/S106-152-C2
S106-153-C1,192993.37,,open-space-and leisure,S106-153,local-authority-eng:HAL,2020-12-22,2010-12-09,,/developer-agreement-contribution/local-authority-eng/HAL/S106-153-C1
S106-153-C2,25353,,highways,S106-153,local-authority-eng:HAL,2020-12-22,2010-12-09,,/developer-agreement-contribution/local-authority-eng/HAL/S106-153-C2
S106-154-C1,24768.6,,open-space-and leisure,S106-154,local-authority-eng:HAL,2020-12-22,2010-12-21,,/developer-agreement-contribution/local-authority-eng/HAL/S106-154-C1
S106-155-C1,150000,,economic-development,S106-155,local-authority-eng:HAL,2020-12-22,2011-02-02,,/developer-agreement-contribution/local-authority-eng/HAL/S106-155-C1
S106-155-C2,450000,,highways,S106-155,local-authority-eng:HAL,2020-12-22,2011-02-02,,/developer-agreement-contribution/local-authority-eng/HAL/S106-155-C2
S106-162-C1,,,other,S106-162,local-authority-eng:HAL,2020-12-22,2011-01-05,,/developer-agreement-contribution/local-authority-eng/HAL/S106-162-C1
S106-165-C1,46540,,open-space-and leisure,S106-165,local-authority-eng:HAL,2020-12-22,2012-06-15,,/developer-agreement-contribution/local-authority-eng/HAL/S106-165-C1
S106-172-C1,14693.73,,open-space-and leisure,S106-172,local-authority-eng:HAL,2020-12-22,2012-06-15,,/developer-agreement-contribution/local-authority-eng/HAL/S106-172-C1
S106-177-C1,57222.13,,open-space-and leisure,S106-177,local-authority-eng:HAL,2020-12-22,2012-11-14,,/developer-agreement-contribution/local-authority-eng/HAL/S106-177-C1
S106-186-C1,71710.43,,open-space-and leisure,S106-186,local-authority-eng:HAL,2020-12-22,2013-04-16,,/developer-agreement-contribution/local-authority-eng/HAL/S106-186-C1
S106-187-C1,28812,,highways,S106-187,local-authority-eng:HAL,2020-12-22,2013-05-08,,/developer-agreement-contribution/local-authority-eng/HAL/S106-187-C1
