developer-agreement-contribution,amount,units,contribution-purpose,developer-agreement,organisation,entry-date,start-date,end-date,slug
P/13/1826/2-dac,20083,,transport-and-travel,P/13/1826/2-da,local-authority-eng:CHA,2020-11-04,2017-02-27,,/developer-agreement-contribution/local-authority-eng/CHA/P-13-1826-2-dac
P/13/1826/2-dac,21732,,transport-and-travel,P/13/1826/2-da,local-authority-eng:CHA,2020-11-04,2017-02-27,,/developer-agreement-contribution/local-authority-eng/CHA/P-13-1826-2-dac
P/13/1826/2-dac,266000,,transport-and-travel,P/13/1826/2-da,local-authority-eng:CHA,2020-11-04,2017-02-27,2019-07-29,/developer-agreement-contribution/local-authority-eng/CHA/P-13-1826-2-dac
P/13/1826/2-dac,6000,,transport-and-travel,P/13/1826/2-da,local-authority-eng:CHA,2020-11-04,2017-02-27,,/developer-agreement-contribution/local-authority-eng/CHA/P-13-1826-2-dac
P/13/1826/2-dac,11468.44,,community-facilities,P/13/1826/2-da,local-authority-eng:CHA,2020-11-04,2017-02-27,,/developer-agreement-contribution/local-authority-eng/CHA/P-13-1826-2-dac
P/13/1826/2-dac,16230,,community-facilities,P/13/1826/2-da,local-authority-eng:CHA,2020-11-04,2017-02-27,,/developer-agreement-contribution/local-authority-eng/CHA/P-13-1826-2-dac
P/13/1826/2-dac,62865,,community-facilities,P/13/1826/2-da,local-authority-eng:CHA,2020-11-04,2017-02-27,,/developer-agreement-contribution/local-authority-eng/CHA/P-13-1826-2-dac
P/13/1826/2-dac,65828.33,,community-facilities,P/13/1826/2-da,local-authority-eng:CHA,2020-11-04,2017-02-27,,/developer-agreement-contribution/local-authority-eng/CHA/P-13-1826-2-dac
P/13/1826/2-dac,8818.5,,community-facilities,P/13/1826/2-da,local-authority-eng:CHA,2020-11-04,2017-02-27,,/developer-agreement-contribution/local-authority-eng/CHA/P-13-1826-2-dac
P/13/1826/2-dac,9234.19,,community-facilities,P/13/1826/2-da,local-authority-eng:CHA,2020-11-04,2017-02-27,,/developer-agreement-contribution/local-authority-eng/CHA/P-13-1826-2-dac
P/13/1826/2-dac,2137028.25,,education,P/13/1826/2-da,local-authority-eng:CHA,2020-11-04,2017-02-27,,/developer-agreement-contribution/local-authority-eng/CHA/P-13-1826-2-dac
P/13/1826/2-dac,111481.92,,health,P/13/1826/2-da,local-authority-eng:CHA,2020-11-04,2017-02-27,,/developer-agreement-contribution/local-authority-eng/CHA/P-13-1826-2-dac
P/13/1826/2-dac,677688.36,,highways,P/13/1826/2-da,local-authority-eng:CHA,2020-11-04,2017-02-27,,/developer-agreement-contribution/local-authority-eng/CHA/P-13-1826-2-dac
P/13/1826/2-dac,2139.87,,other,P/13/1826/2-da,local-authority-eng:CHA,2020-11-04,2017-02-27,,/developer-agreement-contribution/local-authority-eng/CHA/P-13-1826-2-dac
P/13/1826/2-dac,30000,,other,P/13/1826/2-da,local-authority-eng:CHA,2020-11-04,2017-02-27,,/developer-agreement-contribution/local-authority-eng/CHA/P-13-1826-2-dac
P/13/1826/2-dac,76000,,other,P/13/1826/2-da,local-authority-eng:CHA,2020-11-04,2017-02-27,,/developer-agreement-contribution/local-authority-eng/CHA/P-13-1826-2-dac
P/13/1826/2-dac,0,,open-space-and-leisure,P/13/1826/2-da,local-authority-eng:CHA,2020-11-04,2017-02-27,,/developer-agreement-contribution/local-authority-eng/CHA/P-13-1826-2-dac
P/15/0047/2-dac,10076,,community-facilities,P/15/0047/2-da,local-authority-eng:CHA,2020-11-04,2018-05-02,,/developer-agreement-contribution/local-authority-eng/CHA/P-15-0047-2-dac
P/15/0047/2-dac,5890,,community-facilities,P/15/0047/2-da,local-authority-eng:CHA,2020-11-04,2018-05-02,,/developer-agreement-contribution/local-authority-eng/CHA/P-15-0047-2-dac
P/15/0047/2-dac,556233.67,,education,P/15/0047/2-da,local-authority-eng:CHA,2020-11-04,2018-05-02,,/developer-agreement-contribution/local-authority-eng/CHA/P-15-0047-2-dac
P/15/0047/2-dac,121423.68,,health,P/15/0047/2-da,local-authority-eng:CHA,2020-11-04,2018-05-02,,/developer-agreement-contribution/local-authority-eng/CHA/P-15-0047-2-dac
P/15/0047/2-dac,3500,,highways,P/15/0047/2-da,local-authority-eng:CHA,2020-11-04,2018-05-02,,/developer-agreement-contribution/local-authority-eng/CHA/P-15-0047-2-dac
P/15/0047/2-dac,6000,,highways,P/15/0047/2-da,local-authority-eng:CHA,2020-11-04,2018-05-02,,/developer-agreement-contribution/local-authority-eng/CHA/P-15-0047-2-dac
P/15/0047/2-dac,0,,open-space-and-leisure,P/15/0047/2-da,local-authority-eng:CHA,2020-11-04,2018-05-02,,/developer-agreement-contribution/local-authority-eng/CHA/P-15-0047-2-dac
P/17/2200/2-dac,5682.5,,open-space-and-leisure,P/17/2200/2-da,local-authority-eng:CHA,2020-11-04,2018-10-26,2019-12-23,/developer-agreement-contribution/local-authority-eng/CHA/P-17-2200-2-dac
P/17/0388/2-dac,23328.77,,health,P/17/0388/2-da,local-authority-eng:CHA,2020-11-04,2019-12-20,,/developer-agreement-contribution/local-authority-eng/CHA/P-17-0388-2-dac
P/17/2338/2-dat,62425,,community-facilities,P/17/2338/2-dac,local-authority-eng:CHA,2020-11-04,2019-01-14,,/developer-agreement-contribution/local-authority-eng/CHA/P-17-2338-2-dat
P/17/2338/2-dat,154555.2,,highways,P/17/2338/2-dac,local-authority-eng:CHA,2020-11-04,2019-01-14,,/developer-agreement-contribution/local-authority-eng/CHA/P-17-2338-2-dat
P/17/2391/2-dac,250,,monitoring,P/17/2338/2-dac,local-authority-eng:CHA,2020-11-04,2019-11-29,,/developer-agreement-contribution/local-authority-eng/CHA/P-17-2391-2-dac
P/17/2391/2-dac,300,,monitoring,P/17/2338/2-dac,local-authority-eng:CHA,2020-11-04,2019-11-29,,/developer-agreement-contribution/local-authority-eng/CHA/P-17-2391-2-dac
P/17/2391/2-dac,690,,affordable-housing,P/17/2391/2-da,local-authority-eng:CHA,2020-11-04,2019-11-29,,/developer-agreement-contribution/local-authority-eng/CHA/P-17-2391-2-dac
