developer-agreement-contribution,amount,units,contribution-purpose,developer-agreement,organisation,entry-date,start-date,end-date,slug
3PL/2018/0952/O_GI,52000,,green-infrastructure,3PL/2018/0952/O-3.143,local-authority-eng:NFK,2020-05-12,2019-12-10,,/developer-agreement-contribution/local-authority-eng/NFK/3PL-2018-0952-O-GI
3PL/2018/0952/O_LIB,,,community-facilities,3PL/2018/0952/O-3.143,local-authority-eng:NFK,2020-10-01,2019-12-10,,/developer-agreement-contribution/local-authority-eng/NFK/3PL-2018-0952-O-LIB
3PL/2018/0952/O_TP,95400,,transport-and-travel,3PL/2018/0952/O-3.143,local-authority-eng:NFK,2020-05-12,2019-12-10,,/developer-agreement-contribution/local-authority-eng/NFK/3PL-2018-0952-O-TP
3PL/2018/1102/O_EDU,,,education,3PL/2018/1102/O_3.220,local-authority-eng:NFK,2020-07-11,2019-07-09,,/developer-agreement-contribution/local-authority-eng/NFK/3PL-2018-1102-O-EDU
3PL/2018/1102/O_LIB,,,community-facilities,3PL/2018/1102/O_3.220,local-authority-eng:NFK,2020-07-12,2019-07-09,,/developer-agreement-contribution/local-authority-eng/NFK/3PL-2018-1102-O-LIB
3PL/2019/1056/O_EDU,,,education,3PL/2019/1056/O-232,local-authority-eng:NFK,2020-10-01,2020-05-21,,/developer-agreement-contribution/local-authority-eng/NFK/3PL-2019-1056-O-EDU
3PL/2019/1056/O_GI,,,green-infrastructure,3PL/2019/1056/O-233,local-authority-eng:NFK,2020-10-01,2020-05-21,,/developer-agreement-contribution/local-authority-eng/NFK/3PL-2019-1056-O-GI
3PL/2019/1056/O_LIB,,,community-facilities,3PL/2019/1056/O-233,local-authority-eng:NFK,2020-10-01,2020-05-21,,/developer-agreement-contribution/local-authority-eng/NFK/3PL-2019-1056-O-LIB
3PL/2019/1056/O_MON,,,monitoring-fees,3PL/2019/1056/O-231,local-authority-eng:NFK,2020-10-01,2020-05-21,,/developer-agreement-contribution/local-authority-eng/NFK/3PL-2019-1056-O-MON
9/2/17/1106_H,,,highways,9/2/17/1106,local-authority-eng:NFK,2020-05-12,2019-04-01,,/developer-agreement-contribution/local-authority-eng/NFK/9-2-17-1106-H
9/2/17/1151_GI,22500,,green-infrastructure,9/2/17/1151,local-authority-eng:NFK,2020-05-12,2019-04-12,,/developer-agreement-contribution/local-authority-eng/NFK/9-2-17-1151-GI
9/2/17/1151_H,,,highways,9/2/17/1151,local-authority-eng:NFK,2020-05-12,2019-04-12,,/developer-agreement-contribution/local-authority-eng/NFK/9-2-17-1151-H
9/3/18/1021_H,,,highways,9/3/18/1021,local-authority-eng:NFK,2020-05-12,2019-06-26,,/developer-agreement-contribution/local-authority-eng/NFK/9-3-18-1021-H
9/5/16/1066_H,,,highways,9/5/16/1066,local-authority-eng:NFK,2020-05-12,2020-02-17,,/developer-agreement-contribution/local-authority-eng/NFK/9-5-16-1066-H
9/5/16/1066_PT,,,transport-and-travel,9/5/16/1066,local-authority-eng:NFK,2020-05-12,2020-02-17,,/developer-agreement-contribution/local-authority-eng/NFK/9-5-16-1066-PT
9/6/18/0173_H,,,highways,9/6/18/0173,local-authority-eng:NFK,2020-05-12,2020-02-13,,/developer-agreement-contribution/local-authority-eng/NFK/9-6-18-0173-H
