developer-agreement-contribution,amount,units,contribution-purpose,developer-agreement,organisation,entry-date,start-date,end-date,slug
3_XX_XXXX_XX-C1,,,,3_XX_XXXX_XX-da,local-authority-eng:EHE,2021-03-25,,,/developer-agreement-contribution/local-authority-eng/EHE/3-XX-XXXX-XX-C1
2019 to 2020,,,,,local-authority-eng:EHE,2021-03-25,,,/developer-agreement-contribution/local-authority-eng/EHE/2019-to-2020
3_15_1691_OUT-c1,,3,affordable-housing,3_15_1691_OUT-da,local-authority-eng:EHE,2021-03-25,2019-04-10,,/developer-agreement-contribution/local-authority-eng/EHE/3-15-1691-OUT-c1
3_17_1222_VAR-c1,10500,,community-facilities,3_17_1222_VAR-da,local-authority-eng:EHE,2021-03-25,2019-04-10,,/developer-agreement-contribution/local-authority-eng/EHE/3-17-1222-VAR-c1
3_17_1222_VAR-c2,2879,,community-facilities,3_17_1222_VAR-da,local-authority-eng:EHE,2021-03-25,2019-04-10,,/developer-agreement-contribution/local-authority-eng/EHE/3-17-1222-VAR-c2
3_17_1222_VAR-c3,8071.44,,health,3_17_1222_VAR-da,local-authority-eng:EHE,2021-03-25,2019-04-10,,/developer-agreement-contribution/local-authority-eng/EHE/3-17-1222-VAR-c3
3_17_1222_VAR-c4,17942.47,,open-space-and-leisure,3_17_1222_VAR-da,local-authority-eng:EHE,2021-03-25,2019-04-10,,/developer-agreement-contribution/local-authority-eng/EHE/3-17-1222-VAR-c4
3_17_1222_VAR-c5,936,,community-facilities,3_17_1222_VAR-da,local-authority-eng:EHE,2021-03-25,2019-04-10,,/developer-agreement-contribution/local-authority-eng/EHE/3-17-1222-VAR-c5
3_17_1222_VAR-c5,3100,,monitoring-fees,3_17_1222_VAR-da,local-authority-eng:EHE,2021-03-25,2019-04-10,,/developer-agreement-contribution/local-authority-eng/EHE/3-17-1222-VAR-c5
3_18_0031_FUL-c1,,12,affordable-housing,3_18_0031_FUL-da,local-authority-eng:EHE,2021-03-25,2019-07-16,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-0031-FUL-c1
3_18_0031_FUL-c2,27270,,community-facilities,3_18_0031_FUL-da,local-authority-eng:EHE,2021-03-25,2019-07-16,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-0031-FUL-c2
3_18_0031_FUL-c3,18630,,health,3_18_0031_FUL-da,local-authority-eng:EHE,2021-03-25,2019-07-16,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-0031-FUL-c3
3_18_0031_FUL-c4,40890,,open-space-and-leisure,3_18_0031_FUL-da,local-authority-eng:EHE,2021-03-25,2019-07-16,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-0031-FUL-c4
3_18_0031_FUL-c5,2160,,community-facilities,3_18_0031_FUL-da,local-authority-eng:EHE,2021-03-25,2019-07-16,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-0031-FUL-c5
3_18_1234_FUL-c1,568437,,affordable-housing,3_18_1234_FUL-da,local-authority-eng:EHE,2021-03-25,2019-09-18,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-1234-FUL-c1
3_18_2457_FUL-c1,,26,affordable-housing,3_18_2457_FUL-da,local-authority-eng:EHE,2021-03-25,2019-10-24,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-2457-FUL-c1
3_18_2457_FUL-c2,17155,,community-facilities,3_18_2457_FUL-da,local-authority-eng:EHE,2021-03-25,2019-10-24,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-2457-FUL-c2
3_18_2457_FUL-c4,16154,,community-facilities,3_18_2457_FUL-da,local-authority-eng:EHE,2021-03-25,2019-10-24,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-2457-FUL-c4
3_18_2457_FUL-c5,26780,,transport-and-travel,3_18_2457_FUL-da,local-authority-eng:EHE,2021-03-25,2019-10-24,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-2457-FUL-c5
3_18_2457_FUL-c9,60527,,open-space-and-leisure,3_18_2457_FUL-da,local-authority-eng:EHE,2021-03-25,2019-10-24,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-2457-FUL-c9
3_18_2457_FUL-c11,4680,,community-facilities,3_18_2457_FUL-da,local-authority-eng:EHE,2021-03-25,2019-10-24,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-2457-FUL-c11
3_19_0408_FUL-c1,,9,affordable-housing,3_19_0408_FUL-da,local-authority-eng:EHE,2021-03-25,2019-10-28,,/developer-agreement-contribution/local-authority-eng/EHE/3-19-0408-FUL-c1
3_19_0408_FUL-c2,2918,,open-space-and-leisure,3_19_0408_FUL-da,local-authority-eng:EHE,2021-03-25,2019-10-28,,/developer-agreement-contribution/local-authority-eng/EHE/3-19-0408-FUL-c2
3_19_0408_FUL-c3,5231,,community-facilities,3_19_0408_FUL-da,local-authority-eng:EHE,2021-03-25,2019-10-28,,/developer-agreement-contribution/local-authority-eng/EHE/3-19-0408-FUL-c3
3_19_0408_FUL-c6,19761,,open-space-and-leisure,3_19_0408_FUL-da,local-authority-eng:EHE,2021-03-25,2019-10-28,,/developer-agreement-contribution/local-authority-eng/EHE/3-19-0408-FUL-c6
3_18_1898_VAR-c1,,,other,3_18_1898_VAR-da,local-authority-eng:EHE,2021-03-25,2019-12-19,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-1898-VAR-c1
3_18_2253_OUT-c1,,299,affordable-housing,3_18_2253_OUT-da,local-authority-eng:EHE,2021-03-25,2019-12-19,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-2253-OUT-c1
3_18_2253_OUT-c2,72597,,green-infrastructure,3_18_2253_OUT-da,local-authority-eng:EHE,2021-03-25,2019-12-19,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-2253-OUT-c2
3_18_2253_OUT-c6,12700,,community-facilities,3_18_2253_OUT-da,local-authority-eng:EHE,2021-03-25,2019-12-19,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-2253-OUT-c6
3_18_2253_OUT-c9,10000,,community-facilities,3_18_2253_OUT-da,local-authority-eng:EHE,2021-03-25,2019-12-19,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-2253-OUT-c9
3_18_2253_OUT-c12,156939,,health,3_18_2253_OUT-da,local-authority-eng:EHE,2021-03-25,2019-12-19,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-2253-OUT-c12
3_18_2253_OUT-c13,530832,,health,3_18_2253_OUT-da,local-authority-eng:EHE,2021-03-25,2019-12-19,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-2253-OUT-c13
3_18_2253_OUT-c14,765835,,open-space-and-leisure,3_18_2253_OUT-da,local-authority-eng:EHE,2021-03-25,2019-12-19,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-2253-OUT-c14
3_18_2253_OUT-c16,5700,,monitoring-fees,3_18_2253_OUT-da,local-authority-eng:EHE,2021-03-25,2019-12-19,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-2253-OUT-c16
3_18_2253_OUT-c17,476234,,open-space-and-leisure,3_18_2253_OUT-da,local-authority-eng:EHE,2021-03-25,2019-12-19,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-2253-OUT-c17
3_18_2253_OUT-c22,50000,,open-space-and-leisure,3_18_2253_OUT-da,local-authority-eng:EHE,2021-03-25,2019-12-19,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-2253-OUT-c22
3_18_2465_OUT -c1,,56,affordable-housing,3_18_2465_OUT-da,local-authority-eng:EHE,2021-03-25,2019-12-19,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-2465-OUT--c1
3_18_2465_OUT -c3,38145,,open-space-and-leisure,3_18_2465_OUT-da,local-authority-eng:EHE,2021-03-25,2019-12-19,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-2465-OUT--c3
3_18_2465_OUT -c5,68872,,community-facilities,3_18_2465_OUT-da,local-authority-eng:EHE,2021-03-25,2019-12-19,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-2465-OUT--c5
3_18_2465_OUT -c6,68261,,health,3_18_2465_OUT-da,local-authority-eng:EHE,2021-03-25,2019-12-19,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-2465-OUT--c6
3_18_2465_OUT -c8,265426.2,,health,3_18_2465_OUT-da,local-authority-eng:EHE,2021-03-25,2019-12-19,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-2465-OUT--c8
3_18_2465_OUT -c9,93255.47,,community-facilities,3_18_2465_OUT-da,local-authority-eng:EHE,2021-03-25,2019-12-19,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-2465-OUT--c9
3_18_2465_OUT -c11,72922,,health,3_18_2465_OUT-da,local-authority-eng:EHE,2021-03-25,2019-12-19,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-2465-OUT--c11
3_18_2465_OUT -c13,27000,,community-facilities,3_18_2465_OUT-da,local-authority-eng:EHE,2021-03-25,2019-12-19,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-2465-OUT--c13
3_18_2465_OUT -c16,258272.84,,open-space-and-leisure,3_18_2465_OUT-da,local-authority-eng:EHE,2021-03-25,2019-12-19,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-2465-OUT--c16
3_18_1523_FUL-c1,,80,affordable-housing,3_18_1523_FUL-da,local-authority-eng:EHE,2021-03-25,2020-01-16,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-1523-FUL-c1
