developer-agreement-contribution,amount,units,contribution-purpose,developer-agreement,organisation,entry-date,start-date,end-date,slug
IFS222/affordable-housing_off-site,29610,,affordable-housing,IFS222,local-authority-eng:ERY,2020-12-31,2019-08-13,,/developer-agreement-contribution/local-authority-eng/ERY/IFS222-affordable-housing-off-site
IFS661/affordable-housing_on-site,0,20,affordable-housing,IFS661,local-authority-eng:ERY,2020-12-31,2019-06-14,,/developer-agreement-contribution/local-authority-eng/ERY/IFS661-affordable-housing-on-site
IFS661/affordable-housing_off-site,15450,,affordable-housing,IFS661,local-authority-eng:ERY,2020-12-31,2019-06-14,,/developer-agreement-contribution/local-authority-eng/ERY/IFS661-affordable-housing-off-site
IFS661/open-space-and-leisure_off-site,217129,,open-space-and-leisure,IFS661,local-authority-eng:ERY,2020-12-31,2019-06-14,,/developer-agreement-contribution/local-authority-eng/ERY/IFS661-open-space-and-leisure-off-site
IFS665/affordable-housing_on-site,0,7,affordable-housing,IFS665,local-authority-eng:ERY,2020-12-31,2019-07-08,,/developer-agreement-contribution/local-authority-eng/ERY/IFS665-affordable-housing-on-site
IFS665/affordable-housing_off-site,38960,,affordable-housing,IFS665,local-authority-eng:ERY,2020-12-31,2019-07-08,,/developer-agreement-contribution/local-authority-eng/ERY/IFS665-affordable-housing-off-site
IFS665/open-space-and-leisure_off-site,48781,,open-space-and-leisure,IFS665,local-authority-eng:ERY,2020-12-31,2019-07-08,,/developer-agreement-contribution/local-authority-eng/ERY/IFS665-open-space-and-leisure-off-site
IFS665/open-space-and-leisure_on-site,0,1,open-space-and-leisure,IFS665,local-authority-eng:ERY,2020-12-31,2019-07-08,,/developer-agreement-contribution/local-authority-eng/ERY/IFS665-open-space-and-leisure-on-site
IFS665_other_pspo,500,,other,IFS665,local-authority-eng:ERY,2020-12-31,2019-07-08,,/developer-agreement-contribution/local-authority-eng/ERY/IFS665-other-pspo
IFS662/affordable-housing_on-site,0,3,affordable-housing,IFS662,local-authority-eng:ERY,2020-12-31,2019-06-18,,/developer-agreement-contribution/local-authority-eng/ERY/IFS662-affordable-housing-on-site
IFS662/affordable-housing_off-site,37374,,affordable-housing,IFS662,local-authority-eng:ERY,2020-12-31,2019-06-18,,/developer-agreement-contribution/local-authority-eng/ERY/IFS662-affordable-housing-off-site
IFS662/open-space-and-leisure_off-site,31282,,open-space-and-leisure,IFS662,local-authority-eng:ERY,2020-12-31,2019-06-18,,/developer-agreement-contribution/local-authority-eng/ERY/IFS662-open-space-and-leisure-off-site
IFS662/open-space-and-leisure_on-site,0,1,open-space-and-leisure,IFS662,local-authority-eng:ERY,2020-12-31,2019-06-18,,/developer-agreement-contribution/local-authority-eng/ERY/IFS662-open-space-and-leisure-on-site
IFS659/affordable-housing_on-site,0,8,affordable-housing,IFS659,local-authority-eng:ERY,2020-12-31,2019-05-31,,/developer-agreement-contribution/local-authority-eng/ERY/IFS659-affordable-housing-on-site
IFS659/open-space-and-leisure_off-site,120903,,open-space-and-leisure,IFS659,local-authority-eng:ERY,2020-12-31,2019-05-31,,/developer-agreement-contribution/local-authority-eng/ERY/IFS659-open-space-and-leisure-off-site
IFS659/open-space-and-leisure_on-site,27810,,open-space-and-leisure,IFS659,local-authority-eng:ERY,2020-12-31,2019-05-31,,/developer-agreement-contribution/local-authority-eng/ERY/IFS659-open-space-and-leisure-on-site
IFS659_other_pspo,500,,other,IFS659,local-authority-eng:ERY,2020-12-31,2019-05-31,,/developer-agreement-contribution/local-authority-eng/ERY/IFS659-other-pspo
IFS657/affordable-housing_on-site,0,1,affordable-housing,IFS657,local-authority-eng:ERY,2020-12-31,2019-04-26,,/developer-agreement-contribution/local-authority-eng/ERY/IFS657-affordable-housing-on-site
IFS657/affordable-housing_off-site,30900,,affordable-housing,IFS657,local-authority-eng:ERY,2020-12-31,2019-04-26,,/developer-agreement-contribution/local-authority-eng/ERY/IFS657-affordable-housing-off-site
IFS657/open-space-and-leisure_off-site,28040,,open-space-and-leisure,IFS657,local-authority-eng:ERY,2020-12-31,2019-04-26,,/developer-agreement-contribution/local-authority-eng/ERY/IFS657-open-space-and-leisure-off-site
IFS672/highways-tro,3500,,highways,IFS672,local-authority-eng:ERY,2020-12-31,2019-09-10,,/developer-agreement-contribution/local-authority-eng/ERY/IFS672-highways-tro
IFS672/open-space-and-leisure_on-site,0,1,open-space-and-leisure,IFS672,local-authority-eng:ERY,2020-12-31,2019-09-10,,/developer-agreement-contribution/local-authority-eng/ERY/IFS672-open-space-and-leisure-on-site
IFS672/open-space-and-leisure_off-site,24356,,open-space-and-leisure,IFS672,local-authority-eng:ERY,2020-12-31,2019-09-10,,/developer-agreement-contribution/local-authority-eng/ERY/IFS672-open-space-and-leisure-off-site
