developer-agreement-contribution,amount,units,contribution-purpose,developer-agreement,organisation,entry-date,start-date,end-date,slug
70243/05-dc2,24759.16,,other,70243/05-da,local-authority-eng:BOL,2020-03-31,2005-08-19,,/developer-agreement-contribution/local-authority-eng/BOL/70243-05-dc2
78000/07-dc1,29002,,open-space-and-leisure,78000/07-da,local-authority-eng:BOL,2020-03-31,2008-07-11,,/developer-agreement-contribution/local-authority-eng/BOL/78000-07-dc1
75033/06-dc1,15365.79,,other,75033/06-da,local-authority-eng:BOL,2020-03-31,2007-04-20,,/developer-agreement-contribution/local-authority-eng/BOL/75033-06-dc1
78000/07-dc2,4599.15,,other,78000/07-da,local-authority-eng:BOL,2020-03-31,2008-07-11,,/developer-agreement-contribution/local-authority-eng/BOL/78000-07-dc2
47118/95-dc1,9586.99,,open-space-and-leisure,47118/95-da,local-authority-eng:BOL,2020-03-31,1996-03-27,,/developer-agreement-contribution/local-authority-eng/BOL/47118-95-dc1
31080/88-dc1,48505,,open-space-and-leisure,31080/88-da,local-authority-eng:BOL,2020-03-31,1988-12-13,,/developer-agreement-contribution/local-authority-eng/BOL/31080-88-dc1
36153/90-dc1,5628.8,,open-space-and-leisure,36153/90-da,local-authority-eng:BOL,2020-03-31,1990-12-30,,/developer-agreement-contribution/local-authority-eng/BOL/36153-90-dc1
43439/93-dc1,1943.8,,open-space-and-leisure,43439/93-da,local-authority-eng:BOL,2020-03-31,1993-12-07,,/developer-agreement-contribution/local-authority-eng/BOL/43439-93-dc1
37390/90-dc1,23102.34,,open-space-and-leisure,37390/90-da,local-authority-eng:BOL,2020-03-31,1991-03-21,,/developer-agreement-contribution/local-authority-eng/BOL/37390-90-dc1
47641/95-dc1,1682,,open-space-and-leisure,47641/95-da,local-authority-eng:BOL,2020-03-31,1996-02-08,,/developer-agreement-contribution/local-authority-eng/BOL/47641-95-dc1
47874/95-dc1,-180,,open-space-and-leisure,47874/95-da,local-authority-eng:BOL,2020-03-31,1997-03-26,,/developer-agreement-contribution/local-authority-eng/BOL/47874-95-dc1
