developer-agreement-contribution,amount,units,contribution-purpose,developer-agreement,organisation,entry-date,start-date,end-date,slug
dac-2012-0084-01,709446,,education,da-2012-0084,local-authority-eng:AMB,2020-11-25,2013-02-20,,/developer-agreement-contribution/local-authority-eng/AMB/dac-2012-0084-01
dac-2012-0084-02,1125000,,affordable-housing,da-2012-0084,local-authority-eng:AMB,2020-11-25,2013-02-20,,/developer-agreement-contribution/local-authority-eng/AMB/dac-2012-0084-02
dac-2012-0084-03,,,other,da-2012-0084,local-authority-eng:AMB,2020-11-25,2013-02-20,,/developer-agreement-contribution/local-authority-eng/AMB/dac-2012-0084-03
dac-2012-0084-04,,,open-space-and-leisure,da-2012-0084,local-authority-eng:AMB,2020-11-25,2013-02-20,,/developer-agreement-contribution/local-authority-eng/AMB/dac-2012-0084-04
dac-2012-0084-05,100,,monitoring-fees,da-2012-0084,local-authority-eng:AMB,2020-11-25,2013-02-20,,/developer-agreement-contribution/local-authority-eng/AMB/dac-2012-0084-05
dac-2012-0084-06,25984,,other,da-2012-0084,local-authority-eng:AMB,2020-11-25,2013-03-20,,/developer-agreement-contribution/local-authority-eng/AMB/dac-2012-0084-06
dac-2012-0084-07,,,flood-and-water-management,da-2012-0084,local-authority-eng:AMB,2020-11-25,2013-02-20,,/developer-agreement-contribution/local-authority-eng/AMB/dac-2012-0084-07
dac-2012-0965-01,100,,monitoring-fees,da-2012-0965,local-authority-eng:AMB,2020-11-11,,,/developer-agreement-contribution/local-authority-eng/AMB/dac-2012-0965-01
dac-2012-0965-02,49772.74,,open-space-and-leisure,da-2012-0965,local-authority-eng:AMB,2020-11-11,,,/developer-agreement-contribution/local-authority-eng/AMB/dac-2012-0965-02
dac-2012-0965-03,,,affordable-housing,da-2012-0965,local-authority-eng:AMB,2020-11-11,,,/developer-agreement-contribution/local-authority-eng/AMB/dac-2012-0965-03
dac-2012-1157-01,100,,monitoring-fees,da-2012-1157,local-authority-eng:AMB,2020-11-11,,,/developer-agreement-contribution/local-authority-eng/AMB/dac-2012-1157-01
dac-2012-1157-02,55077.22,,open-space-and-leisure,da-2012-1157,local-authority-eng:AMB,2020-11-11,,,/developer-agreement-contribution/local-authority-eng/AMB/dac-2012-1157-02
dac-2012-1157-03,43520.4,99,open-space-and-leisure,da-2012-1157,local-authority-eng:AMB,2020-11-11,,,/developer-agreement-contribution/local-authority-eng/AMB/dac-2012-1157-03
dac-2012-1157-04,383031.66,,education,da-2012-1157,local-authority-eng:AMB,2020-11-11,,,/developer-agreement-contribution/local-authority-eng/AMB/dac-2012-1157-04
dac-2012-1157-05,,7,affordable-housing,da-2012-1157,local-authority-eng:AMB,2020-11-11,,,/developer-agreement-contribution/local-authority-eng/AMB/dac-2012-1157-05
dac-2014-1157-06,,,flood-and-water-management,da-2012-1157,local-authority-eng:AMB,2020-11-11,,,/developer-agreement-contribution/local-authority-eng/AMB/dac-2014-1157-06
dac-2014-0553-01,,7,affordable-housing,da-2014-0553,local-authority-eng:AMB,2020-11-11,,,/developer-agreement-contribution/local-authority-eng/AMB/dac-2014-0553-01
dac-2014-0553-02,115000,,education,da-2014-0553,local-authority-eng:AMB,2020-11-11,,,/developer-agreement-contribution/local-authority-eng/AMB/dac-2014-0553-02
dac-2014-0553-03,55000,,open-space-and-leisure,da-2014-0553,local-authority-eng:AMB,2020-11-11,,,/developer-agreement-contribution/local-authority-eng/AMB/dac-2014-0553-03
dac-2014-0553-04,30000,,highways,da-2014-0553,local-authority-eng:AMB,2020-11-11,,,/developer-agreement-contribution/local-authority-eng/AMB/dac-2014-0553-04
dac-2014-0678-01,1775.8,,open-space-and-leisure,da-2014-0678,local-authority-eng:AMB,2020-11-11,,,/developer-agreement-contribution/local-authority-eng/AMB/dac-2014-0678-01
dac-2014-0678-02,100,,monitoring-fees,da-2014-0678,local-authority-eng:AMB,2020-11-11,,,/developer-agreement-contribution/local-authority-eng/AMB/dac-2014-0678-02
dac-2014-0678-03,,,affordable-housing,da-2014-0678,local-authority-eng:AMB,2020-11-11,,,/developer-agreement-contribution/local-authority-eng/AMB/dac-2014-0678-03
dac-2014-0678-04,,,flood-and-water-management,da-2014-0678,local-authority-eng:AMB,2020-11-11,,,/developer-agreement-contribution/local-authority-eng/AMB/dac-2014-0678-04
dac-2017-1363-01,134497.92,,education,da-2017-1363,local-authority-eng:AMB,2020-11-01,2020-01-13,,/developer-agreement-contribution/local-authority-eng/AMB/dac-2017-1363-01
dac-2017-1363-02,19242,17,affordable-housing,da-2017-1363,local-authority-eng:AMB,2020-11-01,2020-01-13,,/developer-agreement-contribution/local-authority-eng/AMB/dac-2017-1363-02
dac-2017-1363-03,27840,,health,da-2017-1363,local-authority-eng:AMB,2020-11-01,2020-01-13,,/developer-agreement-contribution/local-authority-eng/AMB/dac-2017-1363-03
