developer-agreement-contribution,amount,units,contribution-purpose,developer-agreement,organisation,entry-date,start-date,end-date,slug
S106/19/00279ECO,36000,,green-infrastructure,DC/19/00279/OUT-da,local-authority-eng:GAT,2020-10-21,2020-02-20,,/developer-agreement-contribution/local-authority-eng/GAT/S106-19-00279ECO
S106/18/03349AFF,,3,affordable-housing,DC/18/03349/FUL-da,local-authority-eng:GAT,2020-10-21,2019-04-25,,/developer-agreement-contribution/local-authority-eng/GAT/S106-18-03349AFF
S106/18/00863AFF,31021,,affordable-housing,DC/18/00863/FUL-da,local-authority-eng:GAT,2020-10-21,2019-10-10,,/developer-agreement-contribution/local-authority-eng/GAT/S106-18-00863AFF
CIL18/00704ADMIN,7375.3,,cil-administration-costs,DC/18/00704/FUL-da,local-authority-eng:GAT,2020-10-21,2019-01-10,,/developer-agreement-contribution/local-authority-eng/GAT/CIL18-00704ADMIN
CIL18/00704NEIGH,140130.78,,neighbourhood-community-infrastructure-levy,DC/18/00704/FUL-da,local-authority-eng:GAT,2020-10-21,2019-01-10,,/developer-agreement-contribution/local-authority-eng/GAT/CIL18-00704NEIGH
