pipeline,resource,pattern
developer-agreement,,"^Developer Agreements,,,,,,,,"
developer-agreement-contribution,,"^developer agreement contributions,developer agreement contributions,,,,,,,"
developer-agreement-contribution,,"^Developer Agreement Contribution,,See Page 16 and 17,,,,,"
developer-agreement-contribution,,"^,From CSV 1,See List,as at 31/03/2020,,today,,"
developer-agreement,,"^,*[^,]*,*$"
developer-agreement-contribution,,"^,*[^,]*,*$"
developer-agreement-transaction,,"^,*[^,]*,*$"
