contribution-funding-status,end-date,entry-date,name,start-date,slug
secured,,2019-03-27,Secured,2019-03-27,/contribution-funding-status/secured
received,,2019-03-27,Received,2019-03-27,/contribution-funding-status/received
allocated,,2019-03-27,Allocated,2019-03-27,/contribution-funding-status/allocated
transferred,,2019-03-27,Transferred,2019-03-27,/contribution-funding-status/transferred
spent,,2019-03-27,Spent,2019-03-27,/contribution-funding-status/spent
