row-number,field,issue-type,value
1,units,integer,£
1,organisation,default,local-authority-eng:ERE
2,units,integer,£
2,organisation,default,local-authority-eng:ERE
3,units,integer,Affordable houses
3,organisation,default,local-authority-eng:ERE
4,units,integer,£
4,organisation,default,local-authority-eng:ERE
5,units,integer,£
5,organisation,default,local-authority-eng:ERE
6,units,integer,£
6,organisation,default,local-authority-eng:ERE
7,units,integer,Affordable houses
7,organisation,default,local-authority-eng:ERE
8,units,integer,£
8,organisation,default,local-authority-eng:ERE
9,units,integer,£
9,organisation,default,local-authority-eng:ERE
10,units,integer,£
10,organisation,default,local-authority-eng:ERE
11,units,integer,£
11,organisation,default,local-authority-eng:ERE
12,units,integer,£
12,organisation,default,local-authority-eng:ERE
13,units,integer,%
13,organisation,default,local-authority-eng:ERE
14,units,integer,£
14,organisation,default,local-authority-eng:ERE
15,units,integer,£
15,organisation,default,local-authority-eng:ERE
16,units,integer,£
16,organisation,default,local-authority-eng:ERE
17,units,integer,%
17,organisation,default,local-authority-eng:ERE
18,units,integer,£
18,organisation,default,local-authority-eng:ERE
19,units,integer,£
19,organisation,default,local-authority-eng:ERE
20,units,integer,Affordable houses
20,organisation,default,local-authority-eng:ERE
21,units,integer,£
21,organisation,default,local-authority-eng:ERE
22,units,integer,£
22,organisation,default,local-authority-eng:ERE
23,units,integer,Affordable houses
23,organisation,default,local-authority-eng:ERE
24,units,integer,£
24,organisation,default,local-authority-eng:ERE
25,units,integer,£
25,organisation,default,local-authority-eng:ERE
26,units,integer,£
26,organisation,default,local-authority-eng:ERE
27,units,integer,£
27,organisation,default,local-authority-eng:ERE
28,units,integer,Affordable houses
28,organisation,default,local-authority-eng:ERE
29,units,integer,special needs houses
29,organisation,default,local-authority-eng:ERE
30,amount,decimal,£22798.02
30,units,integer,£
30,organisation,default,local-authority-eng:ERE
31,amount,decimal,£3462.00
31,units,integer,£
31,organisation,default,local-authority-eng:ERE
32,amount,decimal,£4500.00
32,units,integer,£
32,organisation,default,local-authority-eng:ERE
33,amount,decimal,£40500.00
33,units,integer,£
33,organisation,default,local-authority-eng:ERE
34,amount,decimal,£30000.00
34,units,integer,£
34,organisation,default,local-authority-eng:ERE
35,amount,decimal,£112500.00
35,units,integer,£
35,organisation,default,local-authority-eng:ERE
36,amount,decimal,£4.00
36,units,integer,Affordable houses
36,organisation,default,local-authority-eng:ERE
37,amount,decimal,£91192.08
37,units,integer,£
37,organisation,default,local-authority-eng:ERE
38,amount,decimal,£57400.00
38,units,integer,£
38,organisation,default,local-authority-eng:ERE
39,units,integer,£
39,organisation,default,local-authority-eng:ERE
40,units,integer,£
40,organisation,default,local-authority-eng:ERE
41,units,integer,£
41,organisation,default,local-authority-eng:ERE
42,units,integer,£
42,organisation,default,local-authority-eng:ERE
43,units,integer,£
43,organisation,default,local-authority-eng:ERE
44,units,integer,£
44,organisation,default,local-authority-eng:ERE
45,units,integer,£
45,organisation,default,local-authority-eng:ERE
46,units,integer,£
46,organisation,default,local-authority-eng:ERE
47,units,integer,£
47,organisation,default,local-authority-eng:ERE
48,units,integer,£
48,organisation,default,local-authority-eng:ERE
49,units,integer,£
49,organisation,default,local-authority-eng:ERE
50,units,integer,£
50,organisation,default,local-authority-eng:ERE
51,units,integer,£
51,organisation,default,local-authority-eng:ERE
52,units,integer,£
52,organisation,default,local-authority-eng:ERE
53,units,integer,£
53,organisation,default,local-authority-eng:ERE
54,units,integer,£
54,organisation,default,local-authority-eng:ERE
55,units,integer,£
55,organisation,default,local-authority-eng:ERE
56,units,integer,£
56,organisation,default,local-authority-eng:ERE
57,units,integer,translocation of ecological sites
57,organisation,default,local-authority-eng:ERE
58,units,integer,£
58,organisation,default,local-authority-eng:ERE
59,units,integer,£
59,organisation,default,local-authority-eng:ERE
60,units,integer,£
60,organisation,default,local-authority-eng:ERE
61,units,integer,Provide LEAP
61,organisation,default,local-authority-eng:ERE
62,units,integer,£
62,organisation,default,local-authority-eng:ERE
63,units,integer,management plan
63,organisation,default,local-authority-eng:ERE
64,units,integer,maintain surface water drainage scheme
64,organisation,default,local-authority-eng:ERE
65,units,integer,£
65,organisation,default,local-authority-eng:ERE
66,units,integer,per 100 affordable housing
66,organisation,default,local-authority-eng:ERE
