developer-agreement-transaction,amount,units,contribution-funding-status,developer-agreement-contribution,organisation,entry-date,start-date,end-date,slug
1,2000,,received,2092/16/FUL-CON1,local-authority-eng:WDE,2016-12-02,2016-12-02,,/developer-agreement-transaction/local-authority-eng/WDE/1
2,31949.81,,received,00358/2010-CON1,local-authority-eng:WDE,2013-01-15,2013-01-15,,/developer-agreement-transaction/local-authority-eng/WDE/2
3,170395.56,,received,00610/2015-CON1,local-authority-eng:WDE,2018-06-17,2018-06-17,,/developer-agreement-transaction/local-authority-eng/WDE/3
4,8300.68,,received,00014/2014-CON1,local-authority-eng:WDE,2014-09-02,2014-09-02,,/developer-agreement-transaction/local-authority-eng/WDE/4
5,26194.44,,received,0825/16/F-CON1,local-authority-eng:WDE,2017-08-31,2017-08-31,,/developer-agreement-transaction/local-authority-eng/WDE/5
6,113865.89,,secured,2022/16/OPA-CON1,local-authority-eng:WDE,2017-05-11,2017-05-11,,/developer-agreement-transaction/local-authority-eng/WDE/6
7,76593.93,,secured,2092/16/FUL-CON1,local-authority-eng:WDE,2016-12-02,2016-12-02,,/developer-agreement-transaction/local-authority-eng/WDE/7
8,1050,,received,01037/2013-CON1,local-authority-eng:WDE,2016-02-08,2016-02-08,,/developer-agreement-transaction/local-authority-eng/WDE/8
9,-21000,,received,01037/2013-CON2,local-authority-eng:WDE,2016-02-08,2016-02-08,,/developer-agreement-transaction/local-authority-eng/WDE/9
10,-3439,,received,01037/2013-CON3,local-authority-eng:WDE,2016-02-08,2016-02-08,,/developer-agreement-transaction/local-authority-eng/WDE/10
11,-8862,,received,01037/2013-CON4,local-authority-eng:WDE,2016-02-08,2016-02-08,,/developer-agreement-transaction/local-authority-eng/WDE/11
