developer-agreement-transaction,amount,units,contribution-funding-status,developer-agreement-contribution,organisation,entry-date,start-date,end-date,slug
PF/18/1089_LIBS,3696.88,,Secured,PF/18/1089_1.116_LIB,local-authority-eng:NFK,2020-12-04,2019-06-01,,/developer-agreement-transaction/local-authority-eng/NFK/PF-18-1089-LIBS
06/13/0652/O_EDS,1033288.56,,Secured,06/13/0652/O_6.32_ED,local-authority-eng:NFK,2020-12-04,2019-09-19,,/developer-agreement-transaction/local-authority-eng/NFK/06-13-0652-O-EDS
06/13/0652/O_LIBS,25500,,Secured,06/13/0652/O_6.32_LIB,local-authority-eng:NFK,2020-12-04,2019-09-19,,/developer-agreement-transaction/local-authority-eng/NFK/06-13-0652-O-LIBS
13/00610/F_MONS,300,,Secured,13/00610/F_4.97_MON,local-authority-eng:NFK,2020-12-04,2019-12-18,,/developer-agreement-transaction/local-authority-eng/NFK/13-00610-F-MONS
14/1212_LIBS,5667.05,,Secured,14/1212_1.85_LIB,local-authority-eng:NFK,2020-12-04,2019-10-10,,/developer-agreement-transaction/local-authority-eng/NFK/14-1212-LIBS
14/1212_EDS,497514.1,,Secured,14/1212_1.85_ED,local-authority-eng:NFK,2020-12-04,2020-02-28,,/developer-agreement-transaction/local-authority-eng/NFK/14-1212-EDS
2015/0279/O_LIBS,2112.54,,Secured,2015/0279/O_3.15_LIB,local-authority-eng:NFK,2020-12-04,2019-06-01,,/developer-agreement-transaction/local-authority-eng/NFK/2015-0279-O-LIBS
14/0284_EDS,67342.82,,Secured,14/0284_1.79b_ED,local-authority-eng:NFK,2020-12-04,2019-11-26,,/developer-agreement-transaction/local-authority-eng/NFK/14-0284-EDS
2013/0265_EDS,91983,,Secured,2013/0265_2.114_ED,local-authority-eng:NFK,2020-12-04,2019-11-21,,/developer-agreement-transaction/local-authority-eng/NFK/2013-0265-EDS
2013/0265_LIBS,3862.7,,Secured,2013/0265_2.114_LIB,local-authority-eng:NFK,2020-12-04,2019-08-05,,/developer-agreement-transaction/local-authority-eng/NFK/2013-0265-LIBS
06/15/0737/F_LIBS,8073.71,,Secured,06/15/0737/F_6.26_LIB,local-authority-eng:NFK,2020-12-04,2019-04-01,,/developer-agreement-transaction/local-authority-eng/NFK/06-15-0737-F-LIBS
2007/0262_EDS,461171.44,,Secured,2007/0262_3.41_ED,local-authority-eng:NFK,2020-12-04,2019-07-16,,/developer-agreement-transaction/local-authority-eng/NFK/2007-0262-EDS
2013/0467_LIBS,10339.11,,Secured,2013/0467_7.108_LIB,local-authority-eng:NFK,2020-12-04,2019-12-03,,/developer-agreement-transaction/local-authority-eng/NFK/2013-0467-LIBS
PM/16/0253_EDS,366786,,Secured,PM/16/0253_1.76a_ED,local-authority-eng:NFK,2020-12-04,2020-03-10,,/developer-agreement-transaction/local-authority-eng/NFK/PM-16-0253-EDS
2014/0620_EDS,135393,,Secured,2014/0620_3.135_ED,local-authority-eng:NFK,2020-12-04,2019-12-12,,/developer-agreement-transaction/local-authority-eng/NFK/2014-0620-EDS
06/13/0643/F_EDS,111339.93,,Secured,06/13/0643/F_6.66_ED,local-authority-eng:NFK,2020-12-04,2019-07-12,,/developer-agreement-transaction/local-authority-eng/NFK/06-13-0643-F-EDS
06/13/0643/F_LIBS,1680,,Secured,06/13/0643/F_6.66_LIB,local-authority-eng:NFK,2020-12-04,2019-07-23,,/developer-agreement-transaction/local-authority-eng/NFK/06-13-0643-F-LIBS
