developer-agreement-transaction,amount,units,contribution-funding-status,developer-agreement-contribution,organisation,entry-date,start-date,end-date,slug
00/02134/S106/1/T1,,,spent,00/02134/S106/1,local-authority-eng:NTY,2020-12-10,2019-04-01,,/developer-agreement-transaction/local-authority-eng/NTY/00-02134-S106-1-T1
00/02134/S106/1/T2,,,Allocated,00/02134/S106/1,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/00-02134-S106-1-T2
02/03264/S106/1/T1,,,Allocated,02/03264/S106/1,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/02-03264-S106-1-T1
06/00246/S106/13/T1,,,Allocated,06/00246/S106/13,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/06-00246-S106-13-T1
06/01520/S106/1/T1,,,Allocated,06/01520/S106/1,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/06-01520-S106-1-T1
07/03648/S106/3/T1,,,Allocated,07/03648/S106/3,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/07-03648-S106-3-T1
08/00818/S106/2/T1,,,Allocated,08/00818/S106/2,local-authority-eng:NTY,2020-12-11,2019-01-01,2019-01-01,/developer-agreement-transaction/local-authority-eng/NTY/08-00818-S106-2-T1
08/00818/S106/2/T2,3938,,spent,08/00818/S106/2,local-authority-eng:NTY,2020-12-10,2020-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/08-00818-S106-2-T2
09/01790/S106/1/T1,,,Allocated,09/01790/S106/1,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/09-01790-S106-1-T1
10/00793/S106/3/T1,,,Allocated,10/00793/S106/3,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/10-00793-S106-3-T1
10/00793/S106/4/T1,,,Allocated,10/00793/S106/4,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/10-00793-S106-4-T1
20/01140/S106/6/T1,,,Allocated,20/01140/S106/6,local-authority-eng:NTY,2020-12-12,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/20-01140-S106-6-T1
20/01140/S106/5/T1,,,Allocated,20/01140/S106/5,local-authority-eng:NTY,2020-12-13,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/20-01140-S106-5-T1
10/02253/S106/3/T1,,,Allocated,10/02253/S106/3,local-authority-eng:NTY,2020-12-11,2019-01-01,2019-01-01,/developer-agreement-transaction/local-authority-eng/NTY/10-02253-S106-3-T1
10/02253/S106/3/T2,5000,,spent,10/02253/S106/3,local-authority-eng:NTY,2020-12-10,2020-02-01,,/developer-agreement-transaction/local-authority-eng/NTY/10-02253-S106-3-T2
11/00170/S106/1/T1,,,spent,11/00170/S106/1,local-authority-eng:NTY,2020-12-10,2019-11-01,,/developer-agreement-transaction/local-authority-eng/NTY/11-00170-S106-1-T1
11/00170/S106/1/T2,,,Allocated,11/00170/S106/1,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/11-00170-S106-1-T2
11/00170/S106/2/T1,,,Allocated,11/00170/S106/2,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/11-00170-S106-2-T1
11/00390/S106/1/T1,,,Allocated,11/00390/S106/1,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/11-00390-S106-1-T1
11/01188/S106/1/T1,,,Allocated,11/01188/S106/1,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/11-01188-S106-1-T1
11/01188/S106/2/T1,,,Allocated,11/01188/S106/2,local-authority-eng:NTY,2020-12-11,2019-01-01,2020-02-01,/developer-agreement-transaction/local-authority-eng/NTY/11-01188-S106-2-T1
11/01188/S106/2/T2,,,spent,11/01188/S106/2,local-authority-eng:NTY,2020-12-10,2020-02-01,,/developer-agreement-transaction/local-authority-eng/NTY/11-01188-S106-2-T2
11/01755/S106/2/T1,,,Allocated,11/01755/S106/2,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/11-01755-S106-2-T1
11/01818/S106/3/T1,,,Allocated,11/01818/S106/3,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/11-01818-S106-3-T1
11/01867/S106/13/T1,,,Allocated,11/01867/S106/13,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/11-01867-S106-13-T1
11/01867/S106/8/T1,,,Allocated,11/01867/S106/8,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/11-01867-S106-8-T1
11/01942/S106/1/T1,,,Allocated,11/01942/S106/1,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/11-01942-S106-1-T1
11/01967/S106/1/T1,,,Allocated,11/01967/S106/1,local-authority-eng:NTY,2020-12-11,2019-01-01,2020-02-01,/developer-agreement-transaction/local-authority-eng/NTY/11-01967-S106-1-T1
11/01967/S106/1/T2,,,spent,11/01967/S106/1,local-authority-eng:NTY,2020-12-10,2020-02-01,,/developer-agreement-transaction/local-authority-eng/NTY/11-01967-S106-1-T2
11/01967/S106/3/T1,,,Allocated,11/01967/S106/3,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/11-01967-S106-3-T1
11/01967/S106/4/T1,,,Allocated,11/01967/S106/4,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/11-01967-S106-4-T1
12/00415/S106/1/T1,,,Allocated,12/00415/S106/1,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/12-00415-S106-1-T1
12/00415/S106/2/T1,,,Allocated,12/00415/S106/2,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/12-00415-S106-2-T1
12/00598/S106/2/T1,,,Allocated,12/00598/S106/2,local-authority-eng:NTY,2020-12-11,2019-01-01,2020-02-01,/developer-agreement-transaction/local-authority-eng/NTY/12-00598-S106-2-T1
12/00598/S106/2/T2,,,spent,12/00598/S106/2,local-authority-eng:NTY,2020-12-10,2020-02-01,,/developer-agreement-transaction/local-authority-eng/NTY/12-00598-S106-2-T2
12/00598/S106/3/T1,,,Allocated,12/00598/S106/3,local-authority-eng:NTY,2020-12-11,2019-01-01,2020-02-01,/developer-agreement-transaction/local-authority-eng/NTY/12-00598-S106-3-T1
12/00598/S106/3/T2,,,spent,12/00598/S106/3,local-authority-eng:NTY,2020-12-10,2020-02-01,,/developer-agreement-transaction/local-authority-eng/NTY/12-00598-S106-3-T2
12/01166/S106/2/T1,,,Allocated,12/01166/S106/2,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/12-01166-S106-2-T1
12/01166/S106/4/T1,,,Allocated,12/01166/S106/4,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/12-01166-S106-4-T1
12/01233/S106/1/T1,,,received,12/01233/S106/1,local-authority-eng:NTY,2020-12-11,2020-01-01,2020-01-01,/developer-agreement-transaction/local-authority-eng/NTY/12-01233-S106-1-T1
12/01233/S106/1/T2,,,Allocated,12/01233/S106/1,local-authority-eng:NTY,2020-12-10,2020-01-01,2020-01-02,/developer-agreement-transaction/local-authority-eng/NTY/12-01233-S106-1-T2
12/01233/S106/1/T3,,,spent,12/01233/S106/1,local-authority-eng:NTY,2020-12-10,2020-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/12-01233-S106-1-T3
12/01233/S106/2/T1,,,spent,12/01233/S106/2,local-authority-eng:NTY,2020-12-10,2020-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/12-01233-S106-2-T1
12/01233/S106/2/T2,,,received,12/01233/S106/2,local-authority-eng:NTY,2020-12-11,2020-01-01,2020-01-01,/developer-agreement-transaction/local-authority-eng/NTY/12-01233-S106-2-T2
12/01233/S106/2/T3,,,Allocated,12/01233/S106/2,local-authority-eng:NTY,2020-12-11,2020-01-01,2020-01-01,/developer-agreement-transaction/local-authority-eng/NTY/12-01233-S106-2-T3
12/01234/S106/1/T1,,,Allocated,12/01234/S106/1,local-authority-eng:NTY,2020-12-11,2019-01-01,2020-02-01,/developer-agreement-transaction/local-authority-eng/NTY/12-01234-S106-1-T1
12/01234/S106/1/T2,,,spent,12/01234/S106/1,local-authority-eng:NTY,2020-12-10,2020-02-01,,/developer-agreement-transaction/local-authority-eng/NTY/12-01234-S106-1-T2
12/01234/S106/2/T1,,,Allocated,12/01234/S106/2,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/12-01234-S106-2-T1
12/01234/S106/3/T1,,,Allocated,12/01234/S106/3,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/12-01234-S106-3-T1
12/01392/S106/1/T1,,,Allocated,12/01392/S106/1,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/12-01392-S106-1-T1
12/01514/S106/2/T1,,,Allocated,12/01514/S106/2,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/12-01514-S106-2-T1
12/01957/S106/1/T1,,,Allocated,12/01957/S106/1,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/12-01957-S106-1-T1
13/00293/S106/10/T1,,,Allocated,13/00293/S106/10,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-00293-S106-10-T1
13/00293/S106/11/T1,,,spent,13/00293/S106/11,local-authority-eng:NTY,2020-12-10,2019-12-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-00293-S106-11-T1
13/00293/S106/11/T2,,,Allocated,13/00293/S106/11,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-00293-S106-11-T2
13/00293/S106/12/T1,,,Allocated,13/00293/S106/12,local-authority-eng:NTY,2020-12-11,2019-01-01,2019-10-01,/developer-agreement-transaction/local-authority-eng/NTY/13-00293-S106-12-T1
13/00293/S106/12/T2,,,spent,13/00293/S106/12,local-authority-eng:NTY,2020-12-10,2019-10-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-00293-S106-12-T2
13/00293/S106/13/T1,,,Allocated,13/00293/S106/13,local-authority-eng:NTY,2020-12-11,2019-01-01,2019-07-01,/developer-agreement-transaction/local-authority-eng/NTY/13-00293-S106-13-T1
13/00293/S106/13/T2,,,spent,13/00293/S106/13,local-authority-eng:NTY,2020-12-10,2019-07-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-00293-S106-13-T2
13/00293/S106/6/T1,,,Allocated,13/00293/S106/6,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-00293-S106-6-T1
13/00293/S106/7/T1,,,Allocated,13/00293/S106/7,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-00293-S106-7-T1
13/00294/S106/1/T1,,,Allocated,13/00294/S106/1,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-00294-S106-1-T1
13/00294/S106/2/T1,,,Allocated,13/00294/S106/2,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-00294-S106-2-T1
13/00572/S106/1/T1,,,Allocated,13/00572/S106/1,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-00572-S106-1-T1
13/00851/S106/3/T1,,,Allocated,13/00851/S106/3,local-authority-eng:NTY,2020-12-11,2019-01-01,2019-07-01,/developer-agreement-transaction/local-authority-eng/NTY/13-00851-S106-3-T1
13/00851/S106/3/T2,,,spent,13/00851/S106/3,local-authority-eng:NTY,2020-12-10,2019-07-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-00851-S106-3-T2
13/00947/S106/2/T1,,,Allocated,13/00947/S106/2,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-00947-S106-2-T1
13/00947/S106/4/T1,,,Allocated,13/00947/S106/4,local-authority-eng:NTY,2020-12-11,2019-01-01,2019-07-01,/developer-agreement-transaction/local-authority-eng/NTY/13-00947-S106-4-T1
13/00947/S106/4/T2,,,spent,13/00947/S106/4,local-authority-eng:NTY,2020-12-10,2019-07-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-00947-S106-4-T2
13/00947/S106/5/T1,,,Allocated,13/00947/S106/5,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-00947-S106-5-T1
13/01064/S106/1/T1,,,Allocated,13/01064/S106/1,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-01064-S106-1-T1
13/01431/S106/1/T1,,,Allocated,13/01431/S106/1,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-01431-S106-1-T1
13/01433/S106/10/T1,,,Allocated,13/01433/S106/10,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-01433-S106-10-T1
13/01433/S106/3/T1,,,Allocated,13/01433/S106/3,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-01433-S106-3-T1
13/01433/S106/4/T1,,,Allocated,13/01433/S106/4,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-01433-S106-4-T1
13/01433/S106/5/T1,,,Allocated,13/01433/S106/5,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-01433-S106-5-T1
13/01433/S106/6/T1,,,Allocated,13/01433/S106/6,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-01433-S106-6-T1
13/01433/S106/8/T1,,,Allocated,13/01433/S106/8,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-01433-S106-8-T1
13/01433/S106/9/T1,,,Allocated,13/01433/S106/9,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-01433-S106-9-T1
13/01737/S106/4/T1,,,Allocated,13/01737/S106/4,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-01737-S106-4-T1
13/01737/S106/5/T1,,,Allocated,13/01737/S106/5,local-authority-eng:NTY,2020-12-11,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-01737-S106-5-T1
13/02005/S106/1/T1,,,received,13/02005/S106/1,local-authority-eng:NTY,2020-12-11,2019-08-01,2019-08-01,/developer-agreement-transaction/local-authority-eng/NTY/13-02005-S106-1-T1
13/02005/S106/1/T2,,,Allocated,13/02005/S106/1,local-authority-eng:NTY,2020-12-11,2019-08-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-02005-S106-1-T2
13/02005/S106/2/T1,,,received,13/02005/S106/2,local-authority-eng:NTY,2020-12-11,2019-08-01,2019-08-01,/developer-agreement-transaction/local-authority-eng/NTY/13-02005-S106-2-T1
13/02005/S106/2/T2,,,Allocated,13/02005/S106/2,local-authority-eng:NTY,2020-12-11,2019-08-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-02005-S106-2-T2
13/02005/S106/3/T1,,,received,13/02005/S106/3,local-authority-eng:NTY,2020-12-11,2019-08-01,2019-08-01,/developer-agreement-transaction/local-authority-eng/NTY/13-02005-S106-3-T1
13/02005/S106/3/T2,,,Allocated,13/02005/S106/3,local-authority-eng:NTY,2020-12-11,2019-08-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-02005-S106-3-T2
13/02005/S106/3/T3,,,spent,13/02005/S106/3,local-authority-eng:NTY,2020-12-10,2019-10-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-02005-S106-3-T3
13/02005/S106/4/T1,,,received,13/02005/S106/4,local-authority-eng:NTY,2020-12-11,2019-08-01,2019-08-01,/developer-agreement-transaction/local-authority-eng/NTY/13-02005-S106-4-T1
