developer-agreement-transaction,amount,units,contribution-funding-status,developer-agreement-contribution,organisation,entry-date,start-date,end-date,slug
19/00681/IDP3,,,secured,19/00681/IDP,local-authority-eng:EPS,2019-10-14,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00681-IDP3
16/00712/CILADMIN1,659.56,,received,16/00712/CILADMIN,local-authority-eng:EPS,2019-10-15,2019-11-19,,/developer-agreement-transaction/local-authority-eng/EPS/16-00712-CILADMIN1
16/00712/NEIGHBOURHOOD1,1978.68,,received,16/00712/NEIGHBOURHOOD,local-authority-eng:EPS,2019-10-15,2019-11-19,,/developer-agreement-transaction/local-authority-eng/EPS/16-00712-NEIGHBOURHOOD1
16/00712/IDP1,10552.94,,received,16/00712/IDP,local-authority-eng:EPS,2019-10-15,2019-11-19,,/developer-agreement-transaction/local-authority-eng/EPS/16-00712-IDP1
19/00622/CILADMIN1,686.93,,received,19/00622/CILADMIN,local-authority-eng:EPS,2019-10-23,2020-01-06,,/developer-agreement-transaction/local-authority-eng/EPS/19-00622-CILADMIN1
19/00622/CILADMIN2,,,secured,19/00622/CILADMIN,local-authority-eng:EPS,2019-10-23,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00622-CILADMIN2
19/00622/NEIGHBOURHOOD1,2060.77,,received,19/00622/NEIGHBOURHOOD,local-authority-eng:EPS,2019-10-23,2020-01-06,,/developer-agreement-transaction/local-authority-eng/EPS/19-00622-NEIGHBOURHOOD1
19/00622/NEIGHBOURHOOD2,,,secured,19/00622/NEIGHBOURHOOD,local-authority-eng:EPS,2019-10-23,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00622-NEIGHBOURHOOD2
19/00622/IDP1,10990.8,,received,19/00622/IDP,local-authority-eng:EPS,2019-10-23,2020-01-06,,/developer-agreement-transaction/local-authority-eng/EPS/19-00622-IDP1
19/00622/IDP2,,,secured,19/00622/IDP,local-authority-eng:EPS,2019-10-23,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00622-IDP2
18/01018/S1061,,,,18/01018/S106,local-authority-eng:EPS,2019-10-30,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01018-S1061
15/00845/S1061,,,,15/00845/S106,local-authority-eng:EPS,2019-10-30,,,/developer-agreement-transaction/local-authority-eng/EPS/15-00845-S1061
17/01586/S1061,,,,17/01586/S106,local-authority-eng:EPS,2019-10-30,,,/developer-agreement-transaction/local-authority-eng/EPS/17-01586-S1061
17/01586/S1062,,,,17/01586/S106,local-authority-eng:EPS,2019-10-30,,,/developer-agreement-transaction/local-authority-eng/EPS/17-01586-S1062
17/01760/S1061,,,,17/01760/S106,local-authority-eng:EPS,2019-10-30,,,/developer-agreement-transaction/local-authority-eng/EPS/17-01760-S1061
19/00538/CILADMIN1,373.22,,received,19/00538/CILADMIN,local-authority-eng:EPS,2019-10-30,2020-01-28,,/developer-agreement-transaction/local-authority-eng/EPS/19-00538-CILADMIN1
19/00538/CILADMIN2,,,secured,19/00538/CILADMIN,local-authority-eng:EPS,2019-10-30,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00538-CILADMIN2
19/00538/NEIGHBOURHOOD1,1119.66,,received,19/00538/NEIGHBOURHOOD,local-authority-eng:EPS,2019-10-30,2020-01-28,,/developer-agreement-transaction/local-authority-eng/EPS/19-00538-NEIGHBOURHOOD1
19/00538/NEIGHBOURHOOD2,,,secured,19/00538/NEIGHBOURHOOD,local-authority-eng:EPS,2019-10-30,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00538-NEIGHBOURHOOD2
19/00538/IDP1,5971.51,,received,19/00538/IDP,local-authority-eng:EPS,2019-10-30,2020-01-28,,/developer-agreement-transaction/local-authority-eng/EPS/19-00538-IDP1
19/00538/IDP2,,,secured,19/00538/IDP,local-authority-eng:EPS,2019-10-30,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00538-IDP2
19/00768/CILADMIN1,0,,received,19/00768/CILADMIN,local-authority-eng:EPS,2019-11-05,2019-11-05,,/developer-agreement-transaction/local-authority-eng/EPS/19-00768-CILADMIN1
19/00768/NEIGHBOURHOOD1,0,,received,19/00768/NEIGHBOURHOOD,local-authority-eng:EPS,2019-11-05,2019-11-05,,/developer-agreement-transaction/local-authority-eng/EPS/19-00768-NEIGHBOURHOOD1
19/00768/IDP1,0,,received,19/00768/IDP,local-authority-eng:EPS,2019-11-05,2019-11-05,,/developer-agreement-transaction/local-authority-eng/EPS/19-00768-IDP1
17/01419/CILADMIN1,74.64,,received,17/01419/CILADMIN,local-authority-eng:EPS,2019-11-05,2019-12-20,,/developer-agreement-transaction/local-authority-eng/EPS/17-01419-CILADMIN1
17/01419/CILADMIN2,3060.46,,received,17/01419/CILADMIN,local-authority-eng:EPS,2019-12-20,2019-12-20,,/developer-agreement-transaction/local-authority-eng/EPS/17-01419-CILADMIN2
17/01419/CILADMIN3,1418.26,,received,17/01419/CILADMIN,local-authority-eng:EPS,2019-12-20,2019-12-20,,/developer-agreement-transaction/local-authority-eng/EPS/17-01419-CILADMIN3
17/01419/NEIGHBOURHOOD1,223.94,,received,17/01419/NEIGHBOURHOOD,local-authority-eng:EPS,2019-11-05,2019-12-20,,/developer-agreement-transaction/local-authority-eng/EPS/17-01419-NEIGHBOURHOOD1
17/01419/NEIGHBOURHOOD1,9181.39,,received,17/01419/NEIGHBOURHOOD,local-authority-eng:EPS,2019-12-20,2019-12-20,,/developer-agreement-transaction/local-authority-eng/EPS/17-01419-NEIGHBOURHOOD1
17/01419/NEIGHBOURHOOD1,4254.79,,received,17/01419/NEIGHBOURHOOD,local-authority-eng:EPS,2019-12-20,2019-12-20,,/developer-agreement-transaction/local-authority-eng/EPS/17-01419-NEIGHBOURHOOD1
17/01419/IDP1,1194.33,,received,17/01419/IDP,local-authority-eng:EPS,2019-11-05,2019-12-20,,/developer-agreement-transaction/local-authority-eng/EPS/17-01419-IDP1
17/01419/IDP1,48967.38,,received,17/01419/IDP,local-authority-eng:EPS,2019-12-20,2019-12-20,,/developer-agreement-transaction/local-authority-eng/EPS/17-01419-IDP1
17/01419/IDP1,22692.2,,received,17/01419/IDP,local-authority-eng:EPS,2019-12-20,2019-12-20,,/developer-agreement-transaction/local-authority-eng/EPS/17-01419-IDP1
18/00486/CILADMIN1,834.57,,received,18/00486/CILADMIN,local-authority-eng:EPS,2019-11-25,2020-02-25,,/developer-agreement-transaction/local-authority-eng/EPS/18-00486-CILADMIN1
18/00486/CILADMIN2,,,secured,18/00486/CILADMIN,local-authority-eng:EPS,2019-11-25,,,/developer-agreement-transaction/local-authority-eng/EPS/18-00486-CILADMIN2
18/00486/CILADMIN3,,,secured,18/00486/CILADMIN,local-authority-eng:EPS,2019-11-25,,,/developer-agreement-transaction/local-authority-eng/EPS/18-00486-CILADMIN3
18/00486/NEIGHBOURHOOD1,2503.71,,received,18/00486/NEIGHBOURHOOD,local-authority-eng:EPS,2019-11-25,2020-02-25,,/developer-agreement-transaction/local-authority-eng/EPS/18-00486-NEIGHBOURHOOD1
18/00486/NEIGHBOURHOOD2,,,secured,18/00486/NEIGHBOURHOOD,local-authority-eng:EPS,2019-11-25,,,/developer-agreement-transaction/local-authority-eng/EPS/18-00486-NEIGHBOURHOOD2
18/00486/NEIGHBOURHOOD3,,,secured,18/00486/NEIGHBOURHOOD,local-authority-eng:EPS,2019-11-25,,,/developer-agreement-transaction/local-authority-eng/EPS/18-00486-NEIGHBOURHOOD3
18/00486/IDP1,13353.15,,received,18/00486/IDP,local-authority-eng:EPS,2019-11-25,2020-02-25,,/developer-agreement-transaction/local-authority-eng/EPS/18-00486-IDP1
18/00486/IDP2,,,secured,18/00486/IDP,local-authority-eng:EPS,2019-11-25,,,/developer-agreement-transaction/local-authority-eng/EPS/18-00486-IDP2
18/00486/IDP3,,,secured,18/00486/IDP,local-authority-eng:EPS,2019-11-25,,,/developer-agreement-transaction/local-authority-eng/EPS/18-00486-IDP3
19/00519/CILADMIN1,1020.59,,received,19/00519/CILADMIN,local-authority-eng:EPS,2020-01-22,2019-10-08,,/developer-agreement-transaction/local-authority-eng/EPS/19-00519-CILADMIN1
19/00519/CILADMIN2,1020.59,,received,19/00519/CILADMIN,local-authority-eng:EPS,2020-01-22,2020-01-09,,/developer-agreement-transaction/local-authority-eng/EPS/19-00519-CILADMIN2
19/00519/NEIGHBOURHOOD1,3061.77,,received,19/00519/NEIGHBOURHOOD,local-authority-eng:EPS,2020-01-22,2019-10-08,,/developer-agreement-transaction/local-authority-eng/EPS/19-00519-NEIGHBOURHOOD1
19/00519/NEIGHBOURHOOD2,3061.78,,received,19/00519/NEIGHBOURHOOD,local-authority-eng:EPS,2020-01-22,2020-01-09,,/developer-agreement-transaction/local-authority-eng/EPS/19-00519-NEIGHBOURHOOD2
19/00519/IDP1,16329.48,,received,19/00519/IDP,local-authority-eng:EPS,2020-01-22,2019-10-08,,/developer-agreement-transaction/local-authority-eng/EPS/19-00519-IDP1
19/00519/IDP2,16329.48,,received,19/00519/IDP,local-authority-eng:EPS,2020-01-22,2020-01-09,,/developer-agreement-transaction/local-authority-eng/EPS/19-00519-IDP2
18/00721/CILADMIN1,1254.35,,received,18/00721/CILADMIN,local-authority-eng:EPS,2020-01-22,2019-10-04,,/developer-agreement-transaction/local-authority-eng/EPS/18-00721-CILADMIN1
18/00721/CILADMIN2,1254.36,,received,18/00721/CILADMIN,local-authority-eng:EPS,2020-01-22,2020-01-20,,/developer-agreement-transaction/local-authority-eng/EPS/18-00721-CILADMIN2
18/00721/NEIGHBOURHOOD1,3763.06,,received,18/00721/NEIGHBOURHOOD,local-authority-eng:EPS,2020-01-22,2019-10-04,,/developer-agreement-transaction/local-authority-eng/EPS/18-00721-NEIGHBOURHOOD1
18/00721/NEIGHBOURHOOD2,3763.06,,received,18/00721/NEIGHBOURHOOD,local-authority-eng:EPS,2020-01-22,2020-01-20,,/developer-agreement-transaction/local-authority-eng/EPS/18-00721-NEIGHBOURHOOD2
18/00721/IDP1,20069.66,,received,18/00721/IDP,local-authority-eng:EPS,2020-01-22,2019-10-04,,/developer-agreement-transaction/local-authority-eng/EPS/18-00721-IDP1
18/00721/IDP2,20069.65,,received,18/00721/IDP,local-authority-eng:EPS,2020-01-22,2020-01-20,,/developer-agreement-transaction/local-authority-eng/EPS/18-00721-IDP2
18/01264/CILADMIN1,,,secured,18/01264/CILADMIN,local-authority-eng:EPS,2020-03-12,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01264-CILADMIN1
18/01264/CILADMIN2,,,secured,18/01264/CILADMIN,local-authority-eng:EPS,2020-03-12,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01264-CILADMIN2
