developer-agreement-transaction,amount,units,contribution-funding-status,developer-agreement-contribution,organisation,entry-date,start-date,end-date,slug
Affordable Housing_P/2012/00795,26587,0,received,P/2012/00795-da,local-authority-eng:EST,2020-05-28,2019-06-17,,/developer-agreement-transaction/local-authority-eng/EST/Affordable-Housing-P-2012-00795
Affordable Housing_P/2015/01588,472281,0,received,P/2015/01588-da,local-authority-eng:EST,2020-05-28,2019-09-11,,/developer-agreement-transaction/local-authority-eng/EST/Affordable-Housing-P-2015-01588
Affordable Housing_P/2018/01046,16000,0,received,P/2018/01046-da,local-authority-eng:EST,2020-05-28,2019-06-19,,/developer-agreement-transaction/local-authority-eng/EST/Affordable-Housing-P-2018-01046
Affordable Housing_P/2012/00636,535226,0,received,P/2012/00636-da,local-authority-eng:EST,2020-05-28,2020-02-20,,/developer-agreement-transaction/local-authority-eng/EST/Affordable-Housing-P-2012-00636
Affordable Housing_P/2016/00392,0,24,received,P/2016/00392-da,local-authority-eng:EST,2020-05-28,2020-03-31,,/developer-agreement-transaction/local-authority-eng/EST/Affordable-Housing-P-2016-00392
Affordable Housing_P/2017/00612,0,1,received,P/2017/00612-da,local-authority-eng:EST,2020-05-28,2020-03-31,,/developer-agreement-transaction/local-authority-eng/EST/Affordable-Housing-P-2017-00612
Affordable Housing_P/2017/01110,0,8,received,P/2017/01110-da,local-authority-eng:EST,2020-05-28,2020-03-31,,/developer-agreement-transaction/local-authority-eng/EST/Affordable-Housing-P-2017-01110
Affordable Housing_P/2017/01058,0,2,received,P/2017/01058-da,local-authority-eng:EST,2020-05-28,2020-03-31,,/developer-agreement-transaction/local-authority-eng/EST/Affordable-Housing-P-2017-01058
Affordable Housing_P/2012/01359,0,8,received,P/2012/01359-da,local-authority-eng:EST,2020-05-28,2020-03-31,,/developer-agreement-transaction/local-authority-eng/EST/Affordable-Housing-P-2012-01359
Affordable Housing_P/2012/01215,0,9,received,P/2012/01215-da,local-authority-eng:EST,2020-05-28,2020-03-31,,/developer-agreement-transaction/local-authority-eng/EST/Affordable-Housing-P-2012-01215
Affordable Housing_P/2013/00882,0,7,received,P/2013/00882-da,local-authority-eng:EST,2020-05-28,2020-03-31,,/developer-agreement-transaction/local-authority-eng/EST/Affordable-Housing-P-2013-00882
Affordable Housing_P/2017/01652,0,4,received,P/2017/01652-da,local-authority-eng:EST,2020-05-28,2020-03-31,,/developer-agreement-transaction/local-authority-eng/EST/Affordable-Housing-P-2017-01652
Affordable Housing_P/2013/00406,0,4,received,P/2013/00406-da,local-authority-eng:EST,2020-05-28,2020-03-31,,/developer-agreement-transaction/local-authority-eng/EST/Affordable-Housing-P-2013-00406
Affordable Housing_P/2014/01488,0,4,received,P/2014/01488-da,local-authority-eng:EST,2020-05-28,2020-03-31,,/developer-agreement-transaction/local-authority-eng/EST/Affordable-Housing-P-2014-01488
Affordable Housing_P/2011/00546/CEH/PO,31666.82,0,transferred,P/2011/00546/CEH/PO-da,local-authority-eng:EST,2020-05-28,2020-01-24,,/developer-agreement-transaction/local-authority-eng/EST/Affordable-Housing-P-2011-00546-CEH-PO
Affordable Housing_P/2011/01359/CLF/PO,543544.36,0,transferred,P/2011/01359/CLF/PO-da,local-authority-eng:EST,2020-05-28,2019-10-08,,/developer-agreement-transaction/local-authority-eng/EST/Affordable-Housing-P-2011-01359-CLF-PO
Affordable Housing_P/2013/00406,95910.93,0,transferred,P/2013/00406-da,local-authority-eng:EST,2020-05-28,2019-10-08,,/developer-agreement-transaction/local-authority-eng/EST/Affordable-Housing-P-2013-00406
Affordable Housing_P/2014/01490,330800,0,transferred,P/2014/01490-da,local-authority-eng:EST,2020-05-28,2019-10-08,,/developer-agreement-transaction/local-authority-eng/EST/Affordable-Housing-P-2014-01490
Affordable Housing_P/2013/00432,1040000,47,secured,P/2013/00432-da,local-authority-eng:EST,2020-05-28,2020-03-31,,/developer-agreement-transaction/local-authority-eng/EST/Affordable-Housing-P-2013-00432
Affordable Housing_P/2012/01359,1373758,24,secured,P/2012/01359-da,local-authority-eng:EST,2020-05-28,2020-03-31,,/developer-agreement-transaction/local-authority-eng/EST/Affordable-Housing-P-2012-01359
Affordable Housing_P/2014/00548,356000,7,secured,P/2014/00548-da,local-authority-eng:EST,2020-05-28,2020-03-31,,/developer-agreement-transaction/local-authority-eng/EST/Affordable-Housing-P-2014-00548
Affordable Housing_P/2018/00505,3000,0,secured,P/2018/00505-da,local-authority-eng:EST,2020-05-28,2020-03-31,,/developer-agreement-transaction/local-authority-eng/EST/Affordable-Housing-P-2018-00505
