developer-agreement-transaction,amount,units,contribution-funding-status,developer-agreement-contribution,organisation,entry-date,start-date,end-date,slug
70243/05-dt2,24759.16,,allocated,70243/05-dc2,local-authority-eng:BOL,2020-03-31,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/70243-05-dt2
78000/07-dt1,29002,,allocated,78000/07-dc1,local-authority-eng:BOL,2020-03-31,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/78000-07-dt1
75033/06-dt1,15365.79,,allocated,75033/06-dc1,local-authority-eng:BOL,2020-03-31,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/75033-06-dt1
78000/07-dt1,4599.15,,allocated,78000/07-dc2,local-authority-eng:BOL,2020-03-31,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/78000-07-dt1
47118/95-dt1,9586.99,,allocated,47118/95-dc1,local-authority-eng:BOL,2020-03-31,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/47118-95-dt1
31080/88-dt1,48505,,allocated,31080/88-dc1,local-authority-eng:BOL,2020-03-31,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/31080-88-dt1
36153/90-dt1,5628.8,,allocated,36153/90-dc1,local-authority-eng:BOL,2020-03-31,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/36153-90-dt1
43439/93-dt1,1943.8,,allocated,43439/93-dc1,local-authority-eng:BOL,2020-03-31,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/43439-93-dt1
37390/90-dt1,23102.34,,allocated,37390/90-dc1,local-authority-eng:BOL,2020-03-31,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/37390-90-dt1
47641/95-dt1,1682,,allocated,47641/95-dc1,local-authority-eng:BOL,2020-03-31,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/47641-95-dt1
47874/95-dt1,-180,,allocated,47874/95-dc1,local-authority-eng:BOL,2020-03-31,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/47874-95-dt1
49236/96-dt1,1480.42,,allocated,49236/96-dc1,local-authority-eng:BOL,2020-03-31,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/49236-96-dt1
48883/96-dt1,893.15,,allocated,48883/96-dc1,local-authority-eng:BOL,2020-03-31,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/48883-96-dt1
49236/96-dt2,11874.79,,allocated,49236/96-dc2,local-authority-eng:BOL,2020-03-31,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/49236-96-dt2
55870/99-dt1,28438,,allocated,55870/99-dc1,local-authority-eng:BOL,2020-03-31,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/55870-99-dt1
59154/01-dt1,2423.26,,allocated,59154/01-dc1,local-authority-eng:BOL,2020-03-31,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/59154-01-dt1
48793/96-dt1,3711.5,,allocated,48793/96-dc1,local-authority-eng:BOL,2020-03-31,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/48793-96-dt1
48793/96-dt2,2020.8,,allocated,48793/96-dc2,local-authority-eng:BOL,2020-03-31,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/48793-96-dt2
50028/97-dt1,18000,,allocated,50028/97-dc1,local-authority-eng:BOL,2020-03-31,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/50028-97-dt1
45255/94-dt1,5652.75,,allocated,45255/94-dc1,local-authority-eng:BOL,2020-03-31,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/45255-94-dt1
