developer-agreement-transaction,amount,units,contribution-funding-status,developer-agreement-contribution,organisation,entry-date,start-date,end-date,slug
AWDM/1409/17-TotalCIL-secd,27900,,secured,AWDM/1409/17-TotalCIL,local-authority-eng:WOT,2020-10-27,2019-02-07,,/developer-agreement-transaction/local-authority-eng/WOT/AWDM-1409-17-TotalCIL-secd
AWDM/1075/17-AffHousing-recd,70000,,received,AWDM/1075/17-AffHousing,local-authority-eng:WOT,2020-01-29,2019-04-02,,/developer-agreement-transaction/local-authority-eng/WOT/AWDM-1075-17-AffHousing-recd
AWDM/1542/16-AffHousing-recd,25000,,received,AWDM/1542/16-AffHousing,local-authority-eng:WOT,2020-01-29,2019-04-09,,/developer-agreement-transaction/local-authority-eng/WOT/AWDM-1542-16-AffHousing-recd
WB/09/0732/FULL-RecSpace-recd,30934.96,,received,WB/09/0732/FULL-RecSpace,local-authority-eng:WOT,2020-01-29,2019-06-10,,/developer-agreement-transaction/local-authority-eng/WOT/WB-09-0732-FULL-RecSpace-recd
AWDM/1409/17-TotalCIL-recd,27900,,received,AWDM/1409/17-TotalCIL,local-authority-eng:WOT,2020-01-29,2019-06-14,,/developer-agreement-transaction/local-authority-eng/WOT/AWDM-1409-17-TotalCIL-recd
AWDM/1176/17-TotalCIL-secd,11300,,secured,AWDM/1176/17-TotalCIL,local-authority-eng:WOT,2020-01-29,2019-07-18,2019-09-04,/developer-agreement-transaction/local-authority-eng/WOT/AWDM-1176-17-TotalCIL-secd
AWDM/0418/16-TotalCIL-secd,11456.99,,secured,AWDM/0418/16-TotalCIL,local-authority-eng:WOT,2020-01-29,2019-08-13,2019-09-10,/developer-agreement-transaction/local-authority-eng/WOT/AWDM-0418-16-TotalCIL-secd
AWDM/0038/18-TotalCIL-secd,25839.99,,secured,AWDM/0038/18-TotalCIL,local-authority-eng:WOT,2020-10-27,2019-08-13,,/developer-agreement-transaction/local-authority-eng/WOT/AWDM-0038-18-TotalCIL-secd
AWDM/0556/18-TotalCIL-secd,17081.63,,secured,AWDM/0556/18-TotalCIL,local-authority-eng:WOT,2020-10-27,2019-08-28,,/developer-agreement-transaction/local-authority-eng/WOT/AWDM-0556-18-TotalCIL-secd
AWDM/1176/17-TotalCIL2-secd,12346.38,,secured,AWDM/1176/17-TotalCIL2,local-authority-eng:WOT,2020-10-27,2019-09-04,,/developer-agreement-transaction/local-authority-eng/WOT/AWDM-1176-17-TotalCIL2-secd
AWDM/0418/16-TotalCIL2-secd,10950,,secured,AWDM/0418/16-TotalCIL2,local-authority-eng:WOT,2020-10-27,2019-09-10,,/developer-agreement-transaction/local-authority-eng/WOT/AWDM-0418-16-TotalCIL2-secd
AWDM/0556/18-TotalCIL-recd,17081.63,,received,AWDM/0556/18-TotalCIL,local-authority-eng:WOT,2020-01-29,2019-09-11,,/developer-agreement-transaction/local-authority-eng/WOT/AWDM-0556-18-TotalCIL-recd
