developer-agreement-transaction,amount,units,contribution-funding-status,developer-agreement-contribution,organisation,entry-date,start-date,end-date,slug
09/93881-tran1,22367,,allocated,09/93881-con1,national-park-authority:Q72617158,2020-12-18,2009-06-05,,/developer-agreement-transaction/national-park-authority/Q72617158/09-93881-tran1
08/93421-tran1,5500,,allocated,08/93421-con1,national-park-authority:Q72617158,2020-12-18,2010-10-25,,/developer-agreement-transaction/national-park-authority/Q72617158/08-93421-tran1
07/91625-tran1,47699,,spent,07/91625-con1,national-park-authority:Q72617158,2020-12-18,2011-05-31,,/developer-agreement-transaction/national-park-authority/Q72617158/07-91625-tran1
07/91625-tran2,5066.16,,allocated,07/91625-con1,national-park-authority:Q72617158,2020-12-18,2011-05-31,,/developer-agreement-transaction/national-park-authority/Q72617158/07-91625-tran2
10/94877-tran1,8610.5,,allocated,10/94877-con1,national-park-authority:Q72617158,2020-12-18,2011-03-22,,/developer-agreement-transaction/national-park-authority/Q72617158/10-94877-tran1
10/95600-tran1,85126,,allocated,10/95600-con1,national-park-authority:Q72617158,2020-12-18,2011-06-29,,/developer-agreement-transaction/national-park-authority/Q72617158/10-95600-tran1
08/92688-tran1,25000,,allocated,08/92688-con1,national-park-authority:Q72617158,2020-12-18,2011-10-19,,/developer-agreement-transaction/national-park-authority/Q72617158/08-92688-tran1
08/93051-tran1,22357,,allocated,08/93051-con1,national-park-authority:Q72617158,2020-12-18,2011-11-30,,/developer-agreement-transaction/national-park-authority/Q72617158/08-93051-tran1
05/85676-tran1,53105,,allocated,05/85676-con1,national-park-authority:Q72617158,2020-12-18,2012-06-28,,/developer-agreement-transaction/national-park-authority/Q72617158/05-85676-tran1
11/96826-tran1,10000,,allocated,11/96826-con1,national-park-authority:Q72617158,2020-12-18,2013-03-22,,/developer-agreement-transaction/national-park-authority/Q72617158/11-96826-tran1
13/98880-tran1,4232.18,,transferred,13/98880-con1,national-park-authority:Q72617158,2020-12-18,2013-11-23,,/developer-agreement-transaction/national-park-authority/Q72617158/13-98880-tran1
13/98701-tran1,11827.75,,transferred,13/98701-con1,national-park-authority:Q72617158,2020-12-18,2014-04-03,,/developer-agreement-transaction/national-park-authority/Q72617158/13-98701-tran1
12/97325-tran1,53000,,allocated,12/97325-con1,national-park-authority:Q72617158,2020-12-18,2014-05-01,,/developer-agreement-transaction/national-park-authority/Q72617158/12-97325-tran1
11/96907-tran1,34000,,allocated,11/96907-con1,national-park-authority:Q72617158,2020-12-18,2014-11-05,,/developer-agreement-transaction/national-park-authority/Q72617158/11-96907-tran1
14/00139-tran1,18200,,allocated,14/00139-con1,national-park-authority:Q72617158,2020-12-18,2015-02-12,,/developer-agreement-transaction/national-park-authority/Q72617158/14-00139-tran1
14/00139-tran2,1980,,transferred,14/00139-con2,national-park-authority:Q72617158,2020-12-18,2015-02-12,,/developer-agreement-transaction/national-park-authority/Q72617158/14-00139-tran2
14/00049-tran1,3745,,transferred,14/00049-con1,national-park-authority:Q72617158,2020-12-18,2015-08-04,,/developer-agreement-transaction/national-park-authority/Q72617158/14-00049-tran1
14/00049-tran2,3505,,spent,14/00049-con2,national-park-authority:Q72617158,2020-12-18,2015-08-04,,/developer-agreement-transaction/national-park-authority/Q72617158/14-00049-tran2
10/95881-tran1,93130,,allocated,10/95881-con1,national-park-authority:Q72617158,2020-12-18,2015-09-02,,/developer-agreement-transaction/national-park-authority/Q72617158/10-95881-tran1
10/95881-tran2,7097.8,,spent,10/95881-con2,national-park-authority:Q72617158,2020-12-18,2015-09-02,,/developer-agreement-transaction/national-park-authority/Q72617158/10-95881-tran2
10/95881-tran3,4585.2,,received,10/95881-con2,national-park-authority:Q72617158,2020-12-18,2015-09-02,,/developer-agreement-transaction/national-park-authority/Q72617158/10-95881-tran3
13/98485-tran1,5520,,transferred,13/98485-con1,national-park-authority:Q72617158,2020-12-18,2015-10-02,,/developer-agreement-transaction/national-park-authority/Q72617158/13-98485-tran1
14/00664-tran1,7010,,received,14/00664-con1,national-park-authority:Q72617158,2020-12-18,2015-11-25,,/developer-agreement-transaction/national-park-authority/Q72617158/14-00664-tran1
14/00664-tran2,3745,,transferred,14/00664-con2,national-park-authority:Q72617158,2020-12-18,2015-11-25,,/developer-agreement-transaction/national-park-authority/Q72617158/14-00664-tran2
15/00735-tran1,43650,,allocated,15/00735-con1,national-park-authority:Q72617158,2020-12-18,2016-02-15,,/developer-agreement-transaction/national-park-authority/Q72617158/15-00735-tran1
15/00735-tran2,5457,,transferred,15/00735-con2,national-park-authority:Q72617158,2020-12-18,2016-02-15,,/developer-agreement-transaction/national-park-authority/Q72617158/15-00735-tran2
