developer-agreement-type,end-date,entry-date,name,start-date,slug
section-106,,2018-12-04,Section 106,2018-12-04,/developer-agreement-type/section-106
community-infrastructure-levy,,2018-12-04,Community infrastructure levy,2018-12-04,/developer-agreement-type/community-infrastructure-levy
section-278,,2019-08-30,Section 278,2019-08-30,/developer-agreement-type/section-278
